,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,77.99316904430256,-0.02962821130100211,0.09780784029184755,-0.30820630361132234,0.7579253562025361,0.7850846499030569
A2M,60702.32096873494,0.38857572700816884,0.10115504732247063,-13.262430356190615,3.823021050315097e-40,4.485555425962006e-39
A2M-AS1,126.69233307765755,-1.574739654676878,0.11012485345904385,-14.367231948177233,8.308622258210604e-47,1.3031980506608145e-45
A2ML1,465.44550604340907,2.806891827507921,0.30248842713135377,9.505891571192812,1.983415991479321e-21,9.827428345795964e-21
A2MP1,23.649405284942294,-1.4168348848459955,0.17659002607675,-8.150016820210734,3.638736577200618e-16,1.3564102169405484e-15
A4GALT,1069.5152547155549,-0.4187819275488106,0.11796010994580913,-3.6500069464900164,0.0002622332170511784,0.0004254339844601807
AAAS,2020.2068467384438,-0.21315686423475746,0.04687127503532658,-4.549421783287233,5.379352408250236e-06,1.0049011411180337e-05
AACS,4062.820869388627,-0.6694334716175965,0.12419585633041201,-5.08337626089597,3.707841642652625e-07,7.618724318811923e-07
AADAC,168.19564760973884,-4.279629197368442,0.34712670793506767,-12.505841422881208,6.936146774931649e-36,6.831806959740854e-35
AADACP1,13.975732680686267,-2.74470233609623,0.19545235305353964,-13.983774795236739,1.9582009386826024e-44,2.7527677748973297e-43
AADAT,281.0095125968204,-0.20253072960129612,0.15579928436804896,-1.3302042039822772,0.1834509994248339,0.21441810834894925
AAGAB,4053.2758736283404,0.7059331746406697,0.06619756206411474,10.40730160997089,2.2963854143212095e-25,1.4068154538221488e-24
AAK1,3237.4675203137153,-0.24274742301919824,0.0644037541734357,-4.244838951701525,2.1875047394699086e-05,3.8873035042383294e-05
AAMDC,447.7558896110734,-1.010031511791071,0.119126230902652,-8.617319532732308,6.853966863526971e-18,2.815465293497647e-17
AAMP,6255.477528156917,-0.04091181064649666,0.07025826308092235,-0.28361490208533435,0.7767055156586055,0.802110618266683
AAR2,3439.5371226198345,-0.281963181515833,0.05602809411789147,-4.833975553142339,1.3383302887524504e-06,2.628964119011156e-06
AARD,2029.4411558771315,0.9098667023766775,0.224812739064586,4.3634512212056,1.280264972483351e-05,2.3194549807887787e-05
AARS1,8769.176830668057,0.3504588103928159,0.07932716112171447,4.786002281483728,1.7013612298632318e-06,3.314062126094777e-06
AARS2,1151.8104697208496,-0.18155687843956267,0.06725719345225815,-2.7244895498812074,0.0064400968368008476,0.009065664055959754
AARSD1,52.1947727769439,-0.43299108365084604,0.12250408188587357,-3.597036261700349,0.0003218636275788899,0.0005175782605202826
AASDH,1067.9025670382603,-0.3982703795759399,0.056014604911064886,-7.179334141524445,7.005174804823649e-13,2.1413907377678054e-12
AASDHPPT,2207.8726646364125,0.265761535952807,0.06726351191255803,3.870016445301847,0.00010882801192334734,0.00018238015705989466
AASS,1371.5739965635562,-1.6873427429269139,0.10594135944128857,-16.18499836114574,6.4351598124715175e-59,1.5995266020502452e-57
AATBC,145.5933705850229,0.27902993551210964,0.1750709876297576,1.6567826668824455,0.09756342258222447,0.1190220021612078
AATF,3044.2780555869335,0.24136150548938803,0.06712136308991327,3.7777937410089577,0.0001582238327884264,0.00026152167940430123
AATK,275.9300036895017,-0.2954435612728225,0.1090995682668995,-2.7598906487696615,0.005782071185784526,0.00817593832719963
ABAT,3264.030511987291,0.9030617074421206,0.1643856955365456,5.658818185015436,1.524189202322037e-08,3.4613570432620566e-08
ABCA1,4558.2291962230565,-1.211387798540638,0.12667830810066608,-9.795054247575317,1.1823393515049615e-22,6.272377766874609e-22
ABCA10,674.7151296651693,-3.5828962962004263,0.17224176983575565,-20.854897624864495,1.3759234631858277e-96,1.826327796849107e-94
ABCA11P,62.27482109239054,-0.27250613733010737,0.09897544108660257,-2.7839679948036644,0.005369833258854243,0.007620640522711759
ABCA12,1494.4896067411669,1.1913766131576495,0.28402310314753487,4.55517787406291,5.2341268470467055e-06,9.788027893384639e-06
ABCA13,47.51266493833568,1.2307298898233208,0.12212031447012671,-7.469965345200962,8.021594356809096e-14,2.6103627266520864e-13
ABCA17P,46.967127746501035,0.050857991305423164,0.12551814910457496,0.4117847103296513,0.6804972290696553,0.7133266322986522
ABCA2,4004.8233865928555,-0.30345894860825146,0.08652331948226502,-3.642947524407004,0.00026953380244631325,0.0004368125377092191
ABCA3,4994.80504408993,0.260262257584619,0.11676032306671794,2.7255333850525667,0.006419768372945426,0.009040308927028807
ABCA4,274.75604360255124,0.11733306649964542,0.1759555402273118,0.6506457893563327,0.5152751649548122,0.5564253151031211
ABCA5,2029.1626328120406,-2.015964143713289,0.0972283708448396,-20.934732890281854,2.5850983936766995e-97,3.5273034865328506e-95
ABCA6,1409.8154156186938,-2.505681703776764,0.1514578325694915,-16.715628867707057,1.0085045387681696e-62,2.8895654273780507e-61
ABCA7,910.4641678131854,-0.053978121745039694,0.08416795448784763,-0.5881444899999767,0.5564353128543406,0.5963509735479453
ABCA8,3598.425542468732,-3.631372056104532,0.2024041128029409,-17.621260690740336,1.6919212844638358e-69,6.589374870750172e-68
ABCA9,1698.868065884727,-3.459289127353427,0.17334735112055202,-20.065285889299325,1.4843444711664702e-89,1.4554034834874456e-87
ABCB1,735.1757498246991,-1.9418706703068274,0.13809531155352656,-14.209414375680998,8.009247880090754e-46,1.212385140700782e-44
ABCB10,1481.759695466328,-0.348797151284396,0.06677546241823884,-5.219317589601472,1.7958358770076705e-07,3.7787500951335776e-07
ABCB11,37.33858946308415,-2.3731768552293575,0.24878336432268547,-9.730028723105994,2.2452954967334235e-22,1.173906906009179e-21
ABCB4,111.17183634766731,0.03188624313805551,0.11529586516813037,0.28268893089144564,0.7774153021699972,0.8028011313014546
ABCB5,182.28580095716376,-3.458336207452603,0.21664670804279634,-16.070766511420757,4.089975135112216e-58,9.72029169747985e-57
ABCB6,23.3921902678337,-0.4412532055394066,0.11225704399351899,-3.960964791423311,7.464754011819104e-05,0.00012678645567428128
ABCB7,1706.7222135623272,-0.1606305266162028,0.04893972165668888,-3.1838596112962847,0.001453254754961877,0.0021918456194493425
ABCB8,1643.3650877387777,0.5291339016003496,0.07384533275042764,7.022254668494698,2.183161301678264e-12,6.465975002784804e-12
ABCB9,553.7731083616703,0.6362542465081557,0.10749591507137282,5.928599483781535,3.0552928817406003e-09,7.297695520690733e-09
ABCC1,3669.7173076096055,-0.21174748361490536,0.07069305522392508,-3.4286235751272955,0.000606650288493232,0.0009500730740091456
ABCC10,1184.1930953979538,-0.14178593658987995,0.060130575714149107,-2.365391138677697,0.01801103752187809,0.024121859024427574
ABCC11,3573.74951568057,0.2204778537963583,0.28864408215457893,1.1683520549171318,0.24266478602433283,0.2786532076804839
ABCC12,88.13837639709752,0.9877248566297167,0.37163969817207326,3.02967193581722,0.002448195097467617,0.0036098528483177014
ABCC2,81.65808175203598,-0.11131256071290449,0.044281759301984074,-9.285256890594626,1.6131755650001387e-20,7.626915828515316e-20
ABCC3,1569.7305754010238,-0.5440245025036551,0.15215674302065232,-3.7379935084709457,0.00018549473501214788,0.00030486634682926457
ABCC4,481.0767415791784,0.8474027491919267,0.027091924354706982,-8.291686622320492,1.1165377805618807e-16,4.2868723286744226e-16
ABCC5,3525.8829223109656,0.6187826024143172,0.10447457437275522,6.20773543618315,5.375354347109231e-10,1.3524682659032279e-09
ABCC6,530.2827107034376,-2.1772461054837593,0.18552679987056292,-11.944368488662505,6.947605052346173e-33,6.038381727455614e-32
ABCC6P1,26.436073658844983,-2.1372033181839845,0.22951393235018733,-9.412672892648098,4.836775659023342e-21,2.3517360243923116e-20
ABCC8,531.7348037318715,0.2756809893024474,0.23488655564628455,1.2292429366347588,0.21898073501183934,0.25305016888072307
ABCC9,2091.6059925621666,-2.006110441549751,0.16175706953721478,-12.986469599543973,1.460083709271827e-38,1.591572812028597e-37
ABCD1,1215.8399789425364,0.24634554561099647,0.1156916546356687,2.043754243259439,0.04097783154461411,0.052526570036691006
ABCD2,740.8066916115533,-3.8107226614682186,0.22139675324855668,-17.339135243753972,2.3829502427368717e-67,8.258636791524306e-66
ABCD3,5996.758381094843,0.5676389239776424,0.08341272410604099,6.561070093033646,5.342299999802168e-11,1.4356005728706775e-10
ABCD4,1856.5615146544794,-0.8556234414510311,0.05797812762842307,-14.798881707291148,1.489382511420102e-49,2.6228187331073133e-48
ABCE1,4031.8213407933354,0.12513183144620418,0.06401105704636438,2.402799659415155,0.016270098228025692,0.02190905152693149
ABCF1,5018.08521806176,0.008828836256436939,0.054921711717235325,0.12390175192973936,0.9013930657992472,0.9140412379105556
ABCF2,940.0844334788295,0.012767906980770453,0.060982902075902,0.1680985122366041,0.866505779760494,0.8830240128838336
ABCF3,3187.9048978050832,-0.015910221380538797,0.06002600902071956,-0.648723107522567,0.5165173657197377,0.5576432711737688
ABCG1,2493.6465210048777,0.4716391116373428,0.08989608854930606,5.626012429122689,1.8442306360286522e-08,4.163923648483113e-08
ABCG2,465.582043140615,-0.8950508848893699,0.04980433323490413,-11.049258079110444,2.210339886697253e-28,1.5665874271426372e-27
ABCG8,16.884767236131854,-1.5222902185929812,0.24402695320565787,-6.453558982155305,1.0925345201589956e-10,2.87763681929567e-10
ABHD1,99.86427072365176,-1.01660956536172,0.11837716061450562,-8.68034772431758,3.945606601931904e-18,1.6397588076016038e-17
ABHD10,1973.3279714317025,-0.18655487327707818,0.058626042091394104,-3.2506273864393727,0.0011515066843619595,0.0017542316072197497
ABHD11,2037.9924100162625,0.6699731486992301,0.10083756267145191,6.715874345392163,1.8694183876023912e-11,5.197505212154155e-11
ABHD11-AS1,35.01126138803548,0.5790333318751079,0.06401186202112648,-4.052085456448747,5.0763115566316975e-05,8.756098929720447e-05
ABHD12,3754.128340543283,0.5635026207066063,0.06917064408043554,7.953127269422601,1.818613470860558e-15,6.503809758693403e-15
ABHD12B,120.11143003325229,0.6349516165474118,0.23760720397431065,2.871978365972715,0.0040791089118096474,0.005870017928108993
ABHD13,1452.9949057603308,-0.26387498197004255,0.057312649875709214,-4.589820028989621,4.4362834300457e-06,8.34883895515545e-06
ABHD14A,250.02129005599477,-0.452281753735313,0.0905402237462704,-5.05972286722895,4.1986626955754507e-07,8.58565358583821e-07
ABHD14B,4886.433477769463,-0.870873905020149,0.0829867800087735,-10.359304294990133,3.797137600620103e-25,2.2945106492195555e-24
ABHD15,1661.103925208733,-0.9580591007151734,0.1260640549036628,-7.713882333379301,1.2204700427701246e-14,4.1727372480341106e-14
ABHD16A,48.38658727223038,-0.2972034539160299,0.07543563713716885,-3.9130294414105236,9.11454171009003e-05,0.00015373697946687124
ABHD17A,1331.3370259381534,-0.20956067884194374,0.07078192862214638,-3.045031841795909,0.002326556766534406,0.0034398556966446408
ABHD17B,979.1496752707524,-0.07311750062260114,0.074122280672738,-1.0438671427962265,0.2965468618228275,0.3352776896446292
ABHD17C,1338.1637321526375,1.0077298419953664,0.10904035049169955,9.461563932355437,3.033713227724271e-21,1.4872817210893463e-20
ABHD18,726.6512052430033,-0.06148526612082029,0.06833607259620994,-0.9248138232524438,0.3550627589319506,0.395930080710951
ABHD2,11902.955202285035,0.9657738356160676,0.11997805766352627,7.568514178188432,3.7751712532968404e-14,1.254447232532833e-13
ABHD3,1458.2500399143669,0.9450580702300013,0.10895110653310239,8.915983879254407,4.835038706956065e-19,2.111015333410757e-18
ABHD4,2906.2718198028215,-0.3123364751957858,0.07605785577523755,-4.231003472222735,2.3265108020419414e-05,4.124557402275337e-05
ABHD5,3216.9343489918338,-0.6392554876714246,0.08749632038183361,-7.642478540928624,2.1307952499088612e-14,7.188118415667652e-14
ABHD6,684.1025822189429,-1.1834227788713467,0.11113887424172317,-10.83301949948556,2.401046570597725e-27,1.6160476262677754e-26
ABHD8,495.66517856134146,-0.05639898802212634,0.08321789416655402,-0.6763419610299732,0.4988235572678421,0.5402445187283601
ABI1,4538.3405062697475,-0.18376267772237329,0.04534505191716136,-3.814671733975367,0.00013636407929707236,0.00022679303743986328
ABI2,4063.26830944796,-0.4219112097533062,0.06560329142660869,-6.800877959838484,1.039834826879032e-11,2.942604371582838e-11
