,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1CF,1253.0582671810946,-2.0978190297975243,0.4421918668583843,-5.1345111156180785,2.8287837585664024e-07,2.0491548847559964e-06
A2M,13828.341422770454,-1.311590926121637,0.2672774464767638,-4.991022980646261,6.006035073819399e-07,4.016839963369688e-06
A2M-AS1,21.73654467617274,-0.7585145849937435,0.35146829720103545,-2.3832650041937353,0.017159836448988035,0.03594466526130577
A4GALT,345.3430059643394,0.15723276592090926,0.3573865027767232,0.5021338678929254,0.6155733580580978,0.7004505669396445
AAAS,1371.5753278519144,0.6361537394956162,0.19778578801140964,3.300644105962699,0.0009646316077344461,0.0029012558691173715
AACS,2039.8036441968725,0.5356685301501823,0.24544627917603365,2.1799437426320045,0.029261631931262546,0.05684498946476477
AADACL2,8.859525609223617,-2.081457547615549,0.682870740098849,-3.592618762296494,0.0003273713709647255,0.0011222127525736844
AADACP1,75.15271897840569,0.39212374685865226,0.4813383971102019,1.0220165358472937,0.3067730741179656,0.40432122293310224
AADAT,173.046157862044,1.127302053863632,0.2897638450946796,4.127075809470759,3.6740530173180006e-05,0.00016065412865942706
AAGAB,1928.1477403518347,-0.20651205754075538,0.2475138478368897,-0.9493704197205445,0.3424322494250761,0.4408389320671231
AAK1,1605.8187241928927,-0.1744736721076848,0.3660342696084412,-0.47103636740920896,0.6376147646285542,0.7192246972908064
AAMDC,214.90459520241083,0.16989882538345324,0.25363364101641256,0.7150196147153189,0.4745969231315811,0.569979996846114
AAMP,5801.560550194074,0.22227893722273787,0.23669027979738838,1.0351177666944216,0.300613916283463,0.39789700321995236
AAR2,1665.766679492134,0.448150275250071,0.22791173183793806,1.9693540322533083,0.04891245047954751,0.0882479937803072
AARD,10.799536943652834,-1.92192204767248,0.5291035021788044,-4.041462271257527,5.311892828006488e-05,0.00022342674126434275
AARS1,4706.438333260582,1.0302825582220998,0.2080756331108947,5.153042352742745,2.5629405226871237e-07,1.8722204947110404e-06
AARS2,829.8290022260177,0.37134356965294296,0.20551673572084628,1.8744379730812348,0.06087008375772654,0.1063585886676568
AASDH,316.13009355324544,0.1743895922774881,0.29336621552380937,0.6433713784657917,0.5199831506179962,0.6135220981097625
AASDHPPT,691.7085169833135,0.4715227069538056,0.242198454931663,2.0287532763809826,0.042483426467718216,0.07831075486853416
AASS,135.74602348319817,-0.12630788072613255,0.353403082430696,-0.4082314028995641,0.6831037953314776,0.7586542439089647
AATBC,44.843321001248455,0.04555708527144884,0.4134997323928305,0.1299482606044701,0.8966073615296348,0.9267472203866329
AATF,1924.8820533805092,0.43092360473574476,0.12233249454917813,3.5526194269029467,0.0003814158392090573,0.0012808895204421905
