,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,16467.10853526226,-0.6996568134207757,0.43549062802150507,-3.488023195428651,0.0004866058626124792,0.0012558667538788808
A2M-AS1,31.678038239373254,-1.3519697331618663,0.3961106925374732,-3.7909390519233197,0.0001500787823328425,0.00043811715722864603
A2ML1,47532.064233738776,-0.16991096517931084,0.5361438562872695,-4.263452610634448,2.0129220628865302e-05,7.193122824199236e-05
A4GALT,4493.509521249779,-0.3281662806580327,0.31007092206835274,-0.917707100946514,0.35877222908025663,0.43117850160225
AAAS,1800.6931695254216,-0.4229077619780978,0.09352543177712007,-4.565211747763993,4.989904119650515e-06,2.0789898997218408e-05
AACS,3470.466883636863,-0.6176527396682077,0.14178434690761393,-4.616849841876045,3.896089649462341e-06,1.6691608822056158e-05
AADAC,586.9170547003522,-2.185407476855128,0.8077238080905791,-3.4916173778240314,0.0004801054629342193,0.0012408965806820003
AADACL2,221.64590862309802,-2.877339688812093,0.7610576763411244,-4.385777825797476,1.1557203996261079e-05,4.396697691968164e-05
AADACP1,85.3284843863445,-0.05440906806683517,0.4807754128337999,-0.16203515559338855,0.8712781695125165,0.8985990685390595
AADAT,123.78409135775365,-0.2777107006259201,0.32841596104541565,-0.9895354348926526,0.32240124169776607,0.3931743351857487
AAGAB,3009.6800800389583,-0.027608533012949445,0.16800478773032895,-0.31526106901921463,0.7525634413365168,0.8004706718673888
AAK1,2792.1897969933348,0.19175550233329994,0.11101493455559873,1.8018700289470688,0.0715658566384302,0.10619565635608023
AAMDC,153.16554346498438,-1.585016539233704,0.1814451640692489,-8.875258769611232,6.977100253856551e-19,3.024206193163055e-17
AAMP,6654.328678215517,-0.3192085265180384,0.12602405769228786,-2.9360963095978336,0.0033237111333511643,0.006975583162311997
AAR2,2404.1454721969353,-0.18802962906195583,0.10860734854653073,-1.7330066182471942,0.08309449247521909,0.12119285582893329
AARD,4.7689269112786,-4.932241581734931,0.16922538698263986,-2.8037862796041386,0.005050637187955325,0.010109257769907645
AARS1,7026.166804419198,0.14048101897036833,0.11825371777695837,1.539602178774094,0.12365735407388341,0.17191009826080655
AARS2,1120.8568957058935,-0.6207670848063728,0.1364410844456262,-4.670873440041612,2.9992169328472972e-06,1.319685226744028e-05
AASDH,554.8280215758509,-0.4244702762827996,0.13099511292647564,-3.3031169079664227,0.0009561651608178269,0.0022940717243170165
