,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,4896.198895805207,0.11572556668293767,0.12277564046681956,0.7144402242955201,0.47495500647498146,0.5504409782567896
DPM1,1106.5421083078843,-0.33310842968957494,0.07960724666943748,-4.191863007240334,2.7667305301111467e-05,8.810661702324517e-05
SCYL3,492.91266817608647,-0.6488078858418506,0.09953978042180125,-6.624145815874718,3.492618698956165e-11,3.1376278704448034e-10
C1orf112,184.3212056748913,0.07930477090375221,0.18612725830655827,0.4708530917453268,0.6377456478591946,0.7017608782757453
FGR,276.4890931696264,-0.9908539616753129,0.1744694869072434,-5.948469457731672,2.7066137777761228e-09,1.7632082532793903e-08
CFH,68794.74807083527,0.16882292463513063,0.1869733016950472,-6.473464045474521,9.578121362380611e-11,8.004386435537148e-10
FUCA2,2389.8535378878773,0.19374764205937864,0.11723892502915643,1.5139087502958024,0.1300489845064381,0.18262831294928827
GCLC,4693.502769311382,-0.8116568604760092,0.11724138798090851,-7.140879424060785,9.27356736908447e-13,1.064447272491844e-11
NFYA,656.8009251958082,0.0018717839615632235,0.11135572213044055,0.07494875384961851,0.9402554856473639,0.9551416184686226
STPG1,140.3230828861682,0.6229009722185359,0.13941309790802797,4.638510485473989,3.5092913459871164e-06,1.330078665118943e-05
NIPAL3,372.0232541462969,0.4408321422970613,0.11420275606221235,3.9793389456720987,6.910715695898405e-05,0.00020348660752035722
LAS1L,1630.1040122391641,0.7379282004403582,0.08319815810831924,8.981217500986396,2.6778689303647523e-19,7.762782617607462e-18
ENPP4,734.4543201938737,0.13100290747992988,0.16419422792283533,0.8886289900240184,0.37420250555576484,0.4515932496023966
SEMA3F,681.2448461660066,1.1873978258429216,0.10168827460476214,11.802851769127848,3.773042140399251e-32,4.9033560358493656e-30
CFTR,238.13409385112197,0.22308842888573788,0.13330003284521755,-1.714212124425125,0.08648977496772586,0.12832050107682624
ANKIB1,915.5878259641204,-0.16360715497074899,0.11002293884274715,-1.5249850108677079,0.12726283633953558,0.1792903624498648
CYP51A1,180.86887499025866,-0.16155944603053107,0.26723318538500135,-0.733962863163552,0.4629713720936386,0.5387599664677254
KRIT1,141.22783399864826,-0.30684540849543973,0.0767304999028011,-4.0212458500661885,5.789114567060031e-05,0.00017301904479802296
RAD52,173.87308012866725,0.05405580913611808,0.10770157824410061,0.524835234110839,0.5996977356221769,0.6672736014922422
BAD,400.21556915857343,-0.02400694220467481,0.12241358833315925,-0.2020371540875982,0.8398876782996328,0.8750969932548492
LAP3,7823.7730617276175,-0.8528245815770942,0.13996479899334596,-5.861160144430326,4.596444161846576e-09,2.8899742198408056e-08
CD99,7675.52444268872,0.006520724161963916,0.10369898950606539,-0.3895408094070964,0.6968761282710032,0.7522063368083222
HS3ST1,82.3436151920547,-0.4438226730297917,0.23960486431952108,-2.1172872787006223,0.03423547389327465,0.05649752065972839
AOC1,292.7820830372536,-2.3432502450845107,0.46089087029184583,-5.5229111284109775,3.3342841124137776e-08,1.828074610792466e-07
MAD1L1,27.593542104004015,-0.5669455069416136,0.28250480767304337,-2.35781302505195,0.018382949418335744,0.032548496632049256
LASP1,7324.14948050931,0.2900565351635174,0.11775086666850029,2.3343944319917243,0.019575078077601716,0.03444450055307198
SNX11,753.4388844639356,0.1048763633603657,0.07342156320645216,1.469717310291896,0.1416383324770908,0.19661662247996625
TMEM176A,39029.98015650224,0.5609641433038093,0.18146704918328518,-4.537339066082643,5.696847368641406e-06,2.078542812232119e-05
