,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,4896.198895805207,-0.06459164063890369,0.12299788939331376,-0.807152151099585,0.41957882918566136,0.4867787369921408
DPM1,1106.5421083078843,0.06052925721254382,0.07939472740619864,0.8185832617905834,0.41302422001335326,0.48051941536338455
SCYL3,492.91266817608647,0.12934875643705177,0.09885041239061028,1.3516696669960822,0.17648101277803485,0.22981796288647796
C1orf112,184.3212056748913,0.8215880115853864,0.19227620819117403,4.5292601474866165,5.919058447932604e-06,1.925514664807944e-05
FGR,276.4890931696264,-0.9530095638253807,0.17417140474457113,-5.729227295061529,1.0088913715301499e-08,5.307495431360154e-08
CFH,68794.74807083527,0.926879817541564,0.19019306884166134,-2.17571112728125,0.029576867639866316,0.04703040908931459
FUCA2,2389.8535378878773,0.24126503061600435,0.1175064167282311,1.9313941084252602,0.053434333192727584,0.07998998180464653
GCLC,4693.502769311382,-0.5037601114746956,0.11678299313819038,-4.179341097900178,2.923549113870695e-05,8.422435780801637e-05
NFYA,656.8009251958082,0.5203095897068697,0.11231328288065093,4.756572736796409,1.969073113246157e-06,7.010851217002513e-06
STPG1,140.3230828861682,0.6493476592223986,0.13930793954873857,4.820830018412225,1.4296213702734375e-06,5.2123736835813515e-06
NIPAL3,372.0232541462969,0.493391209417645,0.11431324388952444,4.481388064433355,7.415912549949135e-06,2.3633212583846633e-05
LAS1L,1630.1040122391641,0.5157721367875532,0.08295636646654594,6.327903539947532,2.48514404095567e-10,1.690757935583638e-09
ENPP4,734.4543201938737,0.5227607112806899,0.16699087040997695,3.292799517028186,0.0009919517943251586,0.0021458006440931454
SEMA3F,681.2448461660066,1.4266410113971437,0.10164744391369848,14.154358308169915,1.755326929847985e-45,5.607903847753928e-43
CFTR,406.05653888460154,1.0143186040266696,0.5592189139641435,-1.9998181551403502,0.04551990342683724,0.06929201102348115
ANKIB1,915.5878259641204,0.28110571841833537,0.11045973205566821,2.7001985454323676,0.006929810657043436,0.012754278255612228
CYP51A1,180.86887499025866,0.22998394078837606,0.27144794395222915,0.9988836539780529,0.31785105552513937,0.3834969265521646
KRIT1,141.22783399864826,0.10910712329943996,0.07642957649694583,1.4376552719166045,0.15053188993158387,0.1999485952447673
RAD52,173.87308012866725,0.2603626573609446,0.10804746550459267,2.4721624368209194,0.013429847872387036,0.023114109665887228
BAD,400.21556915857343,0.208643536376729,0.12288299992990433,1.7575023648085306,0.0788322191219689,0.11301225392496897
LAP3,7823.7730617276175,-0.6595241659829789,0.13965646676932209,-4.407765109470189,1.0444272243679554e-05,3.257329974716818e-05
CD99,7675.52444268872,0.1413320729773192,0.10387897256844264,1.238739595502922,0.21544195008243128,0.2737655207585419
HS3ST1,71.5153228318956,-0.09253072941345984,0.19631933148489863,-2.7880152129653206,0.005303205339168185,0.00998215955273648
AOC1,292.7820830372536,-2.1087687289477284,0.4616564397679386,-5.03028988335882,4.897388226228777e-07,1.936103337180157e-06
MAD1L1,27.593542104004015,-0.027750427529417955,0.2683499900845392,-0.12361743844962991,0.9016181845080959,0.9207721669839939
LASP1,7324.14948050931,0.5997928272220238,0.11848551272066607,5.037796462937188,4.7092181853579886e-07,1.8670077785021911e-06
SNX11,753.4388844639356,0.4281219078455852,0.07361378698308242,5.819746376149234,5.8936989345357605e-09,3.2198031051338046e-08
TMEM176A,39029.98015650224,0.9828962037140121,0.1815897747020815,-2.0893672518683566,0.036674676776146005,0.057160907446102145
M6PR,1261.0254389293102,-0.06683674473162973,0.12545079575613763,-0.5503524230387798,0.5820776743760202,0.6441678182711345
KLHL13,220.58997428237177,0.4949166026971855,0.22745019530280233,2.390072112032055,0.01684506496538671,0.02834932739730084
CYP26B1,64.28794433432607,-0.29548149306684546,0.3072462390315376,-1.1774884947323878,0.23900058701057358,0.29953203676096324
ICA1,467.01088217108315,0.26292062974484487,0.23328724554421443,1.2658664974364007,0.20556088274153572,0.2628430031552948
DBNDD1,1108.531317603637,1.6942478455280774,0.262888058978042,6.781236974453113,1.1915124675414799e-11,9.791984828375454e-11
ALS2,1391.6883722468417,-0.30523374498713496,0.09838792343198963,-3.1810896028077273,0.0014672224185878701,0.0030745908429960357
CASP10,554.4383776503973,-0.12273966230219452,0.08896476320153794,-1.3649191227171213,0.17227847124102658,0.2249183003985308
CFLAR,3061.7815552946613,-0.23911598010592217,0.06848321914646016,-3.5270534945396848,0.00042021185401816313,0.000977392504378664
TFPI,12164.943541119517,-0.1268725434813507,0.17686934865786802,-0.6493492281811035,0.5161126731215429,0.5826833425840285
NDUFAF7,450.11022504244676,0.05066420770102403,0.07155379866094363,0.7157318196946494,0.4741569590059418,0.5416161613673085
