,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,2095.315762109572,1.1152478118281888,0.1335700362987177,8.557103459995973,1.157386593480793e-17,7.585148654454776e-17
DPM1,1198.8332570646562,0.26157085166307464,0.09139802284954729,2.8906862244976024,0.0038440170860863368,0.0061784705633581875
SCYL3,533.8632844237384,0.4134850706101237,0.09143376526443481,4.579426707600867,4.662521311031239e-06,1.0736282121802636e-05
C1orf112,221.19995028179287,1.8192254929392748,0.11780624295651876,15.532621169835219,2.0867300947893727e-54,1.4029817312429057e-52
FGR,2236.635455791426,-1.9818039001129761,0.18730543451890994,-10.592907044000654,3.214510419633008e-26,3.874084668611391e-25
CFH,4374.109278387604,0.3596075160955922,0.17766727243229585,1.9892995808547607,0.04666814592631519,0.06325415399038525
FUCA2,1962.477332056251,0.4251400802779238,0.10497309215216508,4.155688945307895,3.243088009570696e-05,6.775189382770327e-05
GCLC,3026.27185040972,2.5252411290474623,0.266685498330209,9.702481594743317,2.9425310624925387e-22,2.7465696915231626e-21
NFYA,1334.178021797887,0.8390954361025609,0.09769275877781192,8.712666364204805,2.968092500667765e-18,2.0326983025514243e-17
STPG1,541.2648393425804,-0.29332377315937075,0.12457415450189219,-2.4061387759131043,0.016122139068172663,0.023558884814424856
NIPAL3,2174.3279782110744,-0.6400674490104895,0.09764910817420784,-6.617106252769493,3.662982247759691e-11,1.3881602252239515e-10
LAS1L,1550.4348341812897,0.4756892254462148,0.06300884041221738,7.538776105149582,4.74402657880744e-14,2.287391046097726e-13
ENPP4,2321.9331230742196,-0.7216352617708137,0.13435532232729577,-5.482092061366098,4.203253921080676e-08,1.1962204165172658e-07
SEMA3F,1602.5152483179097,-0.29058257489423345,0.14240118122643974,-2.097408151673692,0.035957460097854124,0.04979159006754604
CFTR,1285.3594618589207,-1.3358383911409493,0.2905858318184492,-4.9301609562639666,8.216189416182132e-07,2.0633945547465367e-06
ANKIB1,2425.6803950682825,0.7261781339155493,0.0922056449636823,7.981014141006095,1.4513583623183514e-15,7.927109900580028e-15
CYP51A1,160.81681028339526,-0.5655256805156175,0.13652518358770108,-4.24409932545757,2.1947313135055874e-05,4.693124999577253e-05
KRIT1,206.62545023309144,0.024556353222812553,0.07584817037735112,0.3232757531710148,0.7464864151473593,0.7799331520570146
RAD52,252.1358369775823,0.06156838877685542,0.11708335911985754,0.5202176555224087,0.6029118810398846,0.649180380812395
BAD,369.9896157476837,-0.14475343580958822,0.11406185611793256,-1.2941430190875343,0.1956160244737949,0.23717816222587085
LAP3,5676.5079352599405,-0.026831646856882677,0.10254345892665902,-0.4918027791619751,0.6228587716702905,0.6678889597452232
CD99,7439.730689429371,0.2522854779986269,0.11447709204281922,2.0199300103900937,0.043390647871505865,0.0591447083521761
HS3ST1,571.7176368627456,1.0971837477738509,0.1853641009671142,6.1156777692804125,9.614743276828455e-10,3.187666450603076e-09
AOC1,398.60848023806676,3.889357665700986,0.35845016175923583,11.061271571503001,1.9333695826664807e-28,2.7213050076958063e-27
LASP1,9592.485938826972,0.3849864017346088,0.07583865586547488,5.262907984219081,1.417945542518393e-07,3.8445626838600033e-07
SNX11,1087.1264916082082,-0.05003242601939801,0.07876507109553997,-0.6642315832750436,0.5065421021094342,0.5572383839235427
TMEM176A,2064.5961631611226,0.8583676985804183,0.1740473254857823,5.011459186531777,5.40188414614426e-07,1.383103721548052e-06
M6PR,3143.1088199383553,-0.13887874349094903,0.09981481877268819,-1.44733100813367,0.14780423848060154,0.1835944048274939
KLHL13,163.99135245074044,-0.04674667870790825,0.2687934326554705,-0.19432715411119816,0.8459197249784914,0.8686104936305232
CYP26B1,318.5137411274387,-1.0780997871363516,0.25094097564344464,-4.56958138223867,4.886993722755805e-06,1.1221954205599971e-05
ICA1,1178.305741564644,0.9402836895742869,0.10306812502910445,9.220877626410331,2.946783284938185e-20,2.356892790398929e-19
DBNDD1,873.4025722632293,2.199952946592409,0.15302696556507625,14.49337575191207,1.3342118650416475e-47,6.010760596080484e-46
ALS2,1118.1289391351477,-0.030679105991977474,0.06922686205553272,-0.4545382067366333,0.6494414990637204,0.6922463105664716
CASP10,1487.776557048985,-0.2069279262908587,0.11983807018068968,-1.818339769924021,0.06901221784553759,0.09116964146859619
CFLAR,7928.055042112247,-0.8976683726082789,0.11303738784906804,-8.350552634373884,6.794430635678281e-17,4.1759737248055147e-16
TFPI,8504.224919052454,-0.40110861284765614,0.19491245115754458,-1.7629102608254377,0.0779156261886925,0.10195539111531635
NDUFAF7,401.6439030785588,0.3910415771978625,0.0723856475860545,5.437437692357788,5.4052242945638274e-08,1.5219429375318431e-07
RBM5,1977.1757450425416,-0.34591593005297244,0.11212345360509782,-3.1053776794709367,0.0019003620325857944,0.003178468887687694
SLC7A2,4141.454944384584,1.023663535159257,0.3305955276290295,3.424830396776178,0.0006151833288677504,0.001095616941085566
ARF5,2905.414546007802,0.3440987794447578,0.09573479788919002,3.7548193851802303,0.0001734665212205892,0.00033168241281459563
SARM1,200.13242622379448,-0.39848516842223275,0.13133346014066308,-3.1066479573983083,0.0018922159071255145,0.003165243709254539
POLDIP2,3689.876381982679,0.63632853337774,0.06966927503865687,9.304893453604386,1.3412674453683902e-20,1.106169820292922e-19
PLXND1,9376.744127193542,-0.18042216583795156,0.13730310539941334,-1.583473360300854,0.11331361385781076,0.14381360823559827
AK2,4767.98361306673,0.5145829173260263,0.08394615656535978,6.298611972957424,3.003227412999112e-10,1.0429404060087372e-09
CD38,1144.4580203477183,-0.036716837900314804,0.23159844634771679,-0.047446651424618305,0.9621572484030102,0.9682982110096399
FKBP4,2522.5523329487382,1.0865833469870565,0.10955312908109151,10.277112290148635,8.936503875061356e-25,9.863666152098972e-24
KDM1A,2886.36180400481,0.713046681632431,0.0797126601743863,9.148370105718417,5.779897804018476e-20,4.519170390450101e-19
RBM6,2331.6439155340117,-0.2875685425614304,0.11907097370474304,-2.609138532683014,0.009077048718575797,0.013755779207956113
CAMKK1,408.7895175818218,-0.42371111199714384,0.12766377069713766,-3.4200157646075406,0.0006261750685360928,0.0011133962656410994
RECQL,916.9884977535362,0.2765378796536916,0.12278642289052191,2.3465832673116735,0.01894643225820802,0.02739183150739149
VPS50,940.9820908768824,0.11636707622973928,0.06539258957102656,1.7701219543268207,0.07670682698945627,0.10052260052194996
HSPB6,228.82487895690429,-1.8486611906361166,0.20099711385068975,-12.574736566955432,2.9076791343057556e-36,7.00222002434177e-35
ARHGAP33,209.7752911205771,0.7561086991517639,0.19363795166519643,4.072160065444713,4.657915079942847e-05,9.556085073395758e-05
NDUFAB1,1586.847792270171,0.4348079943896491,0.09650615025854346,4.606730059116284,4.090504564914296e-06,9.488394564323967e-06
PDK4,6134.272203300688,-2.378631682559463,0.23949807819705674,-10.034484917519334,1.0751909309045583e-23,1.106519337982197e-22
ZMYND10,800.8369327726695,-1.864522104607316,0.4095645567087517,-4.947767414735269,7.506953222226852e-07,1.8949799014369099e-06
SLC25A13,1137.7326286925752,1.1695576893193207,0.08783450610959537,13.426516393577574,4.2283944100396686e-41,1.3625775604429112e-39
ST7,1552.132102623392,-0.678318904759289,0.09586288497094635,-7.130771289165072,9.980804591705328e-13,4.29904900218332e-12
CDC27,2446.2079848541894,0.3784508408461527,0.06858328253801312,5.86757028098165,4.422275778669564e-09,1.3736642281538079e-08
HCCS,859.7703943411695,0.4034886993083019,0.07961525386527186,5.101879830802772,3.3629627014938795e-07,8.797637957986654e-07
DVL2,1162.2065953973954,0.2560336948471739,0.06988092544695472,3.6763992380280133,0.00023654922658112467,0.00044447361413916815
PRSS22,682.0870852089945,1.343871061927248,0.19386526803416507,7.194933880831342,6.249104039750585e-13,2.728960864045384e-12
UPF1,4526.319277145511,0.09980347135099575,0.07619320674604318,1.644760951012172,0.10001911784177615,0.12823964324986994
SKAP2,3104.5717491343994,0.044363011203182826,0.12667442774850302,0.2315317802598431,0.8169016989955691,0.8429967279467325
SLC25A5,9544.598965111487,0.31230193056431255,0.10321051710942962,3.0256093288067647,0.002481326797587564,0.004082123144211562
MCUB,708.9025364198338,0.4336829452330488,0.14461536517161688,2.992420505369858,0.002767747386096027,0.004531373810734473
POLR2J,1030.2499398715056,0.6473530956487726,0.09943773154405086,6.6910225083394295,2.2161656970333685e-11,8.56775092154319e-11
DHX33,809.66684640397,0.5885753655749245,0.07932378009803807,7.440364856818702,1.0040759011580512e-13,4.695969389420336e-13
THSD7A,357.0584716821825,-0.5784612931208543,0.18408441152501143,-3.291200127387422,0.0009976091446498,0.0017297202671667233
LIG3,1097.1289355882934,0.8935038642424464,0.08478935009946857,10.644305246057375,1.8536185154274062e-26,2.2732571515588883e-25
RPAP3,1017.7657212593175,0.6008183153957559,0.06827050979276297,8.807623455631262,1.2782699037778354e-18,8.981795689940281e-18
ACSM3,478.6606192866449,-0.11673725416463161,0.1931622228907139,-0.646217108809951,0.5181387610080866,0.5684376616874105
REXO5,139.6149593749998,0.9579200385428494,0.1268197236110034,7.67330642597383,1.6761841311196394e-14,8.371439976123539e-14
CIAPIN1,1619.9808840312614,0.3639785532441557,0.0756659164164314,4.90247225160191,9.463798663516152e-07,2.3628277718807056e-06
SPPL2B,1034.5277441008707,0.2589425659415209,0.11394622100566754,2.326029126154035,0.020016996928714118,0.028824214429312732
FAM214B,1043.002907483814,-0.30620796900185454,0.09188922186394402,-3.3343832712918293,0.0008548877330655069,0.0014969576975743836
COPZ2,447.6614667423603,0.002166678576183833,0.16557592913704064,0.042114864088709056,0.9664071308547227,0.9716154887028088
PRKAR2B,712.854607976721,-0.14358642457710036,0.1717595380578052,-0.9572087043665551,0.3384619245077475,0.3884349874452054
MSL3,1161.0396345090846,-0.03133039293578376,0.06796563670854579,-0.4769198599031792,0.6334191894119166,0.6775124900073355
CREBBP,4586.112286980991,0.017225881703445866,0.09903808625202314,0.13259923628972997,0.8945103364399312,0.9099684643738009
TSPOAP1,599.6957960882268,-0.6148999047501061,0.1936211440089513,-3.406800365174949,0.0006572918384181397,0.0011652831481526247
GCFC2,583.5895323734452,0.2477345459219206,0.08213495460736868,3.058667882018713,0.0022232347122564883,0.0036854497827080333
WDR54,646.9370911436318,-0.3413432774686525,0.19220637207273691,-1.8480800841093517,0.06459075842576126,0.08566181990079182
CROT,623.1122771816371,0.18664698172257688,0.13632734658770232,1.407135191378315,0.15938730464788986,0.19689282317303686
KMT2E,3554.432926865434,-0.24570051807843615,0.08897508566069212,-2.536205718779903,0.011206088307600497,0.016748435977676435
RHBDD2,5310.181773367205,-0.34675638960278377,0.09709179980307722,-3.9745489159043603,7.051276953135768e-05,0.0001415492016433514
IBTK,2576.5129869014418,0.21277517532233578,0.08351313300555993,2.6454778068640796,0.008157563795591778,0.012459286493613135
ZNF195,749.654333322798,0.4623848734203641,0.10974634345241673,4.28718663277158,1.8095025879554815e-05,3.912318279051641e-05
MYCBP2,2190.3243033192925,-0.22454979784234777,0.10839636656266524,-2.0322170803594495,0.04213168450067698,0.05754709304026674
FBXL3,2064.8892430377446,-0.7224472575378009,0.07918497102021875,-9.192747298690742,3.8293383241702065e-20,3.0316548776828685e-19
ITGAL,2123.8295235309406,-1.1180505156960268,0.18156831700113302,-6.2300563585570155,4.662674066152824e-10,1.5900390835786344e-09
PDK2,772.2543862946748,-0.2023784092866775,0.0855137368958767,-2.322149948771356,0.020224862943679412,0.029114043005003132
ITGA3,21337.113773442386,0.5236068754855939,0.1773819531409019,3.284627894595843,0.0010211713964623614,0.0017677970390986768
ZFX,1421.6742280134656,-0.21147907631063967,0.0781759280090705,-2.706595728417901,0.006797698084945657,0.01050834630428399
LAMP2,9595.51162573576,0.09030152774136731,0.08818679770815062,1.1132872134225478,0.26558509625942683,0.3123212820701508
GDE1,3883.5134901797146,0.1940187271526584,0.08409865212759492,2.4302694679451875,0.015087600781516419,0.02215223061203691
REX1BD,671.1125349917053,0.07594556285631276,0.13176079439003371,0.5935255638400546,0.5528294798965678,0.6021567813511547
CRLF1,2285.479088607662,3.67375070606365,0.4101227121449613,9.1441169501783,6.011900421900226e-20,4.69225816665106e-19
OSBPL7,580.7385253040112,0.3101089502332539,0.14400970413044514,2.249909330149215,0.024454701556211104,0.0347796115228193
TMEM98,3175.6162881472032,0.08257259971039957,0.15735357989902368,0.4320945107467363,0.665672724117903,0.7070841845594129
MAP3K14,794.774305999804,-0.777021038737034,0.15863535699411346,-5.072177770903281,3.932887238863272e-07,1.0209935609318707e-06
TMEM132A,1537.6352378041493,2.2432392590283574,0.19556038905498788,11.695171077189816,1.34915047927482e-31,2.3605677804484797e-30
AP2B1,11603.681956219503,0.3256398574889999,0.07801778666934422,4.651795173837368,3.2905783760905396e-06,7.728978647157154e-06
ZNF263,1093.7425165640523,0.11998226312796219,0.052003956420583704,2.3982674131163058,0.016472834313461613,0.024018349898921074
