,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,75.39761215855539,-0.021287993117669542,0.15057659323568598,-0.6670529070916144,0.5047383394009739,0.7244914876879451
g2,35.99614294992002,-0.04025235368524122,0.15422398052828276,-1.1685479923426372,0.24258579246910794,0.5516258929313601
g3,263.5573380645029,-0.10039879042708136,0.17756261014288988,-1.712653181078673,0.08677636325432467,0.4165265436207584
g4,31.62531260140248,-0.01580115862478386,0.1511438418930129,-0.5347365453013199,0.5928320469100796,0.7783352913480257
g5,3513.261617827159,-0.016178747463729617,0.13051375959554,-0.32915452072833595,0.7420388964540328,0.8699166429707301
g6,828.53657417919,-0.0386489329597284,0.144419352627225,-0.7312997384218187,0.4645960902318079,0.7000443348545574
g7,3705.0532918766803,-0.02296276383712819,0.1296307252892024,-0.2854797214451021,0.7752766382339734,0.8868736371914955
g8,528.0222872160971,0.0007082186531692304,0.13865740020162307,0.0214426029138306,0.9828925891574483,0.9911521907470067
g9,239.0883264230045,-0.007686992444550674,0.14401245447975697,-0.21161319756801855,0.8324088123306002,0.9214857701076755
g10,462.20723908903744,-0.025032015859865028,0.13403803520453084,-0.509749387707364,0.6102270479155624,0.7877285472231872
g11,582.1279546621648,-0.045745867056357255,0.14446751344476552,-0.9385427247018499,0.34796557118662397,0.6284748426007658
g12,1533.4123730595275,-0.03920134901850328,0.14535956985614368,-0.8151078617939638,0.4150105718796865,0.6726381016225231
g13,101.20745997499017,-0.05292096208649684,0.15740158024641118,-2.258653334827933,0.023904957370753734,0.29755600519162945
g14,183.35062966575978,-0.04827420760101069,0.15295724835675556,-1.1146735779228287,0.26499032753111607,0.569207421005549
g15,4769.292247115611,-0.030750767131319835,0.14178502004240606,-0.5116434418547676,0.6089005760218067,0.7870321964952262
g16,1452.8102913181483,-0.07277584437919005,0.15554280972529355,-1.3666792785359976,0.1717258556376311,0.4914830978202212
g17,4878.879732826796,-0.08935322444090965,0.17777176713959547,-1.1139219856547136,0.26531265656237923,0.569207421005549
g18,1125.0464600071323,-0.04018052648667092,0.14108205731249776,-0.8057598975156507,0.4203813051922426,0.6744085110035978
