,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
g1,69.2284030354811,-1.617655041646362,0.32913374143070434,-5.309754234316144,1.097731592168013e-07,4.6371201694487734e-07
g2,36.92718779649407,-1.468435803101428,0.36037717763789917,-4.522178124119487,6.1206518330287565e-06,1.8001917155966932e-05
g3,228.39525534121003,-1.8783052175076853,0.24044070790888558,-8.078145348896285,6.575920017327148e-16,2.216602253031623e-14
g4,30.375879585082707,-1.1899328826351514,0.42597490723009046,-3.3535578145609484,0.0007977974496928966,0.0016055772901367048
g5,3631.7694490175163,-1.085489713924042,0.22581719738889908,-5.003537579901632,5.628768687344406e-07,2.019893069621198e-06
g6,945.1164970602482,-0.662236302263724,0.304744334738553,-2.5796465845369765,0.009890147419968414,0.016858205829491615
g7,3921.524013959554,-0.9875311170987955,0.23313683817609374,-4.614689519690753,3.936833937184351e-06,1.2039247514325231e-05
g8,492.96406643847075,-1.0565532462961638,0.2497323760639285,-4.59857568594857,4.253891751643132e-06,1.294287551209878e-05
g9,219.8006194451218,-1.1811921784855963,0.2480639650024913,-5.093392836197613,3.5171188647744196e-07,1.3305619917179393e-06
g10,510.1231117244586,-1.0930558169572093,0.2261091131400962,-5.162704497307314,2.434072295857184e-07,9.472304642398904e-07
g11,593.9613818811889,-1.3758413113449695,0.22870761156304764,-6.307608865581874,2.8337924813277747e-10,2.34231892980777e-09
g12,1592.284279520372,-0.9629959181004296,0.29181520761826846,-3.7256773945729273,0.0001947914041929535,0.0004348022415021284
g13,99.48475910884436,-2.294357352049705,0.5722676329209704,-4.564706146962549,5.001944746110126e-06,1.5008489183583209e-05
g14,200.89369637215464,-0.6127362954416479,0.262527556416378,-2.6718285522974856,0.007543918121437805,0.013089505126844082
g15,4691.555994319919,-0.9258083601014008,0.24184218152919756,-4.263780830378338,2.0099660289732496e-05,5.364678013273798e-05
g16,1364.063285424029,-1.6622147254722557,0.21372577963617032,-8.061658972063201,7.526593033339053e-16,2.4543238152192564e-14
g17,4330.4078375378285,-1.6853089586188628,0.18920731368377794,-8.896167744474045,5.780818518454486e-19,4.0838277524392834e-17
g18,1135.7924853985799,-1.1392613846024462,0.24557721680922698,-4.999247797652882,5.755439826334757e-07,2.060419985561369e-06
g19,1297.4259544754075,-1.6039846293267905,0.2063206111377634,-8.093105946129143,5.816223324503696e-16,1.9828034060808055e-14
g20,122.98760036129264,-0.3337352769406782,0.48355200458201925,-1.1462082580017614,0.2517089918028347,0.3168808121731029
g21,2863.1758835485607,-1.190883625328802,0.24166407140686988,-5.209828648236997,1.8901511563996176e-07,7.56060462559847e-07
g22,3274.097690532499,-0.9560794721031582,0.24688241238924652,-4.2515717132750135,2.122755145235906e-05,5.6406248323363305e-05
g23,525.8830744896173,-1.0692260345617808,0.270949519408235,-4.320489543022119,1.5568343412056588e-05,4.238206010541721e-05
g24,2016.6240288910399,-1.139979295705887,0.21431830580031205,-5.631757176032289,1.7838272368881775e-08,8.968736315035785e-08
g25,209.46519239010075,-2.203620971398846,0.3188986550032792,-7.22020499757122,5.190926210090386e-13,8.327689107096876e-12
g26,1292.5746934037256,-1.0782460330138839,0.2603332735147615,-4.506607955427943,6.587217845632774e-06,1.9298489782127267e-05
g27,198.38775365061707,-1.9438666797439412,0.1970918430154025,-10.078968347692777,6.844092211505463e-24,2.2813640705018206e-21
g28,278.4438875239291,-0.7617691562685203,0.3341342429843795,-2.7293322958994515,0.006346271911979856,0.011166460842193296
g29,471.5676813993512,-0.9541680202584402,0.3154540280497303,-3.45907281740303,0.000542038342078069,0.001117401917662519
g30,156.44755627570973,-1.192816802877629,0.23581906141418135,-5.371112660684289,7.825229957820558e-08,3.4221122264521393e-07
g31,472.34341281194236,-1.4582829132871982,0.20213874924376046,-7.46541798414369,8.303559882380819e-14,1.6281489965452587e-12
g32,1061.924066481922,-0.7606242825966724,0.3157608405872453,-2.876444263250386,0.004021832162393309,0.007251610324338359
g33,2492.8134044165936,-1.0125362674425498,0.2269735023605585,-4.887118173694312,1.0232268122703698e-06,3.460744573631465e-06
g34,834.756696398953,-1.011365234583333,0.24172120044169035,-4.529764305411098,5.90495226524907e-06,1.7453261897307034e-05
g35,1175.8643774832537,-1.2892661673003807,0.2536520027160733,-5.419704611516031,5.969759006796904e-08,2.681029494070466e-07
g36,1646.2469023599435,-0.798737530547843,0.259687834052117,-3.4879090282865564,0.0004868136828923295,0.0010156057362148737
g37,74.03258197374763,-0.9675030159743583,0.31879977470516574,-3.474972025667606,0.0005109066271355736,0.001059972255467995
g38,5782.435418482787,-1.1734018251684954,0.2025792510825992,-5.8457822191913404,5.041933283912028e-09,2.9341124208381465e-08
g39,5444.880267880791,-0.9897880216951749,0.23874969855384418,-4.741561004152157,2.1207777692230134e-06,6.746907007072153e-06
g40,65.3352766092635,-1.6973427531039667,0.3246809452013639,-5.607715366101601,2.0501482219587155e-08,1.0132528279861855e-07
g41,51.87280719020971,-1.0122501399592334,0.29960801598591064,-3.7887683480456467,0.00015139600107316986,0.0003438213499012185
g42,158.87570275328724,-1.8150829933827148,0.39944964846705816,-4.991564444465046,5.98921927086177e-07,2.12705590842177e-06
g43,30.9823441887412,-0.8437205729047753,0.3269809958104861,-3.0231912068518496,0.002501241506667279,0.004652030080596303
g44,259.150176374499,-0.10354891545621922,0.5417286386035325,-0.42712041446348303,0.6692916245196088,0.7323610032096924
g45,6778.8883933235165,-0.7775084545570691,0.2553240126154764,-3.4651935837486856,0.0005298499353085142,0.0010954857380603327
g46,804.4135270163904,-0.5691540453998838,0.29752958313472233,-2.248278281819506,0.024558450694900757,0.039398584002514586
g47,2502.1355516562953,-1.0434179628382116,0.248040186847513,-4.529984338731453,5.8988058915230035e-06,1.7453261897307034e-05
g48,2774.457061538239,-1.0269412008733432,0.27011676631993226,-4.212721405354399,2.5231219279750356e-05,6.59927269740637e-05
g49,1866.7288299658449,-1.4233752517453744,0.21548052679648574,-7.08321910377377,1.4084372097024824e-12,2.0611276239548523e-11
g50,4091.3870219010437,-0.5822582526660748,0.2331443023160819,-2.857021969867164,0.004276362375252966,0.007691299236066486
g51,13787.955752139207,-1.2843640174606414,0.24937832056076575,-5.3338468144350015,9.615364833708839e-08,4.109130270815743e-07
g52,12166.575536122487,-0.8095610201197491,0.24702830226349795,-4.090210598064769,4.3098167554866953e-05,0.00010720937202703221
g53,2622.5129340814624,-1.06942065874894,0.26591274244290897,-4.322241603969518,1.544519206839552e-05,4.2121354494498465e-05
g54,6945.956870955092,-1.2088859037270037,0.2460354418177754,-5.077698132242329,3.8203503078906685e-07,1.4255038462278615e-06
g55,2520.519425119245,-0.7076778195239865,0.2383103412521987,-3.2724845069714137,0.0010660671510344605,0.0020971812807235287
g56,1003.7711358275752,-1.810934914225013,0.30584159880932343,-6.268622979671347,3.6425488192418794e-10,2.95341796154747e-09
g57,489.77920302816347,-0.9466401565774943,0.23180749350088367,-4.434274860381678,9.238270354816571e-06,2.6395058156618776e-05
g58,554.5218750343632,-0.9765208317588399,0.2524452079887388,-4.214415722200396,2.5042564118031745e-05,6.567105975008325e-05
g59,1659.058710810185,-0.9963799970890767,0.214247985188217,-5.044581336721325,4.545154602241035e-07,1.6710127214121451e-06
g60,1419.5518181467014,-1.3294536710337876,0.21255743761749074,-6.583076774830666,4.6081103224467506e-11,4.6546568913603537e-10
g61,571.9057898372806,-1.0986684656228352,0.27343643874368256,-4.399776493111851,1.0836242927835196e-05,3.0467412168233915e-05
g62,308.66193255602366,-1.5510456014115799,0.2523591438898563,-6.484710873644857,8.890210251789258e-11,8.360699296353534e-10
g63,1844.2685234518453,-1.083060364144893,0.2401209931080323,-4.918182400052282,8.735150029667142e-07,2.9812798736065335e-06
g64,3778.893502483389,-1.5857023391755156,0.22228910819840672,-7.621909593877772,2.4995007893232132e-14,5.680683612098212e-13
g65,4723.3683940004685,-0.8781872841332243,0.27021112459452046,-3.5963128801659585,0.00032275956179883384,0.0006931128742995716
g66,2176.683987907243,-1.5941876387581766,0.19061366518553924,-8.64581333903085,5.342338516303515e-18,3.02396519790765e-16
g67,1430.7966633225471,-1.2768166805498555,0.2284413498222225,-5.99114645603596,2.0836688546515804e-09,1.3829660539722879e-08
g68,537.0428446890215,-1.3905790189943392,0.28923204553094367,-5.18210477592002,2.193959043563427e-07,8.660364645645106e-07
g69,958.4172936765593,-1.557880024067179,0.19523485839481838,-8.233637974928383,1.8161198394542125e-16,7.168894103108733e-15
g70,78.58745710442955,-0.7423020193347233,0.34027208897484607,-2.635306412247197,0.008406136096683064,0.014435265191785457
g71,2510.8452337390386,-1.0766884383883373,0.23254238702523056,-5.074421891405505,3.8867584341075636e-07,1.4484814040152412e-06
g72,5149.517360611551,-1.452954848942522,0.21982867408424395,-6.958398422739164,3.4416274887141326e-12,4.48907933310539e-11
g73,2223.5426069403916,-0.9031174724266067,0.2577533699608066,-4.075614361652138,4.589302075494168e-05,0.00011331610062948562
g74,9463.778809709798,-0.9439044096968463,0.26998022080896295,-4.265877617103363,1.9911791415460933e-05,5.3197061664837596e-05
g75,2818.984839971954,-1.0666333227910438,0.24665227211217317,-4.626271611793649,3.723069909780009e-06,1.1479146689969196e-05
g76,2816.978360075996,-0.7951959835415543,0.2948708753562921,-3.1447425013269714,0.0016623307533676546,0.0031859764804533083
g77,3539.1192262735685,-0.741381902038631,0.28021261894958477,-3.1195991999038397,0.0018109727017402938,0.0034429138816355394
g78,1961.5460837915743,-1.6047063035060476,0.16148131646794417,-10.203511896208004,1.9123000636544275e-24,8.195571701376118e-22
g79,3204.4574851950447,-1.0538626799744086,0.32204307083433764,-3.7164416663777935,0.00020204826275602075,0.0004493289757361469
g80,2033.0983790193743,-1.4678084647451801,0.16906274642152594,-8.896041181784028,5.787411268957001e-19,4.0838277524392834e-17
g81,1910.781972114812,-1.7427858408537833,0.2172922959279515,-8.346018522377918,7.060273998589309e-17,3.025831713681132e-15
g82,1930.4340069013392,-1.482418108036012,0.2861564386500007,-5.530804149030173,3.1876607248030476e-08,1.5179336784776417e-07
g83,29.864332895121493,-1.0867416776980052,0.33295351613353535,-3.712865502560598,0.00020492580282519338,0.00045471701810323976
g84,3613.0337046743225,-1.0156777804730577,0.2648007689141873,-4.294770288906063,1.7487431039593155e-05,4.7263327134035557e-05
g85,3092.238346574789,-1.1100567389601812,0.2550662636291258,-4.605666598008166,4.111466693778948e-06,1.2547711171248061e-05
g86,6408.836084561473,-1.3848710497254313,0.21342823209764814,-6.919386134494695,4.5360491095139965e-12,5.7600772821349803e-11
