,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,60760.13364961685,0.370268297830592,0.10059320005942425,-13.416145689951632,4.863582703216407e-41,5.7660517588803195e-40
A2M-AS1,127.24458866970767,-1.5668199714108986,0.11195523293340895,-14.07443403830474,5.453977075264579e-45,7.699641884168161e-44
A4GALT,1068.677250782112,-0.42632347428325557,0.11727668638146413,-3.732608522411668,0.0001895070061917991,0.0003153761068033475
AAAS,2021.387761328056,-0.23953672648519403,0.046571094266313035,-4.7562427229003825,1.9722931460303357e-06,3.8960618646949766e-06
AACS,4062.1244226710737,-0.6750524592855611,0.12372369633835646,-5.182011882602611,2.1950522734078513e-07,4.6828405338530517e-07
AADAC,167.64371386818885,-4.272757077020129,0.34447380974526676,-12.581525020680607,2.668285334777171e-36,2.616208486533152e-35
AADAT,280.87901539163624,-0.2121647556210497,0.15556924460145483,-1.3997132713827023,0.1615991980004825,0.19184237360035153
AAGAB,4051.5314464563053,0.6948995038890227,0.06581842215007151,10.321668868213639,5.623704840162884e-25,3.361467186792148e-24
AAK1,3250.2340233129175,-0.23671913959126373,0.06590724743472107,-4.161634781193914,3.159774143762366e-05,5.624240717318936e-05
AAMDC,446.0064226569995,-0.9795322764751446,0.11766548590928438,-8.461652431295605,2.6361520433811658e-17,1.0525688422017142e-16
AAMP,6253.304140236673,-0.033722786559268615,0.07002340490364525,-0.41935933726268915,0.6749535370045574,0.7093316364196081
AAR2,3435.4070814510665,-0.27510787065290754,0.05451427601351036,-5.125123489676312,2.9734279545503305e-07,6.28148662980235e-07
AARD,2032.1620216643419,0.9041027743410148,0.22479269685271314,4.354074151288969,1.3363047255436086e-05,2.4520685661361526e-05
AARS1,8760.023450266626,0.43585633664866746,0.07958519905628267,4.732602707866789,2.216590800510057e-06,4.36203464096182e-06
AARS2,1153.581526463043,-0.18958103622455935,0.06755786712101243,-2.844031379480619,0.004454666051972988,0.006460082908542793
AASDH,1070.0815045555917,-0.4050181510698409,0.05653404497654001,-7.230989252582021,4.794883013174986e-13,1.5156552554903508e-12
AASDHPPT,2208.050640033417,0.25479488595471367,0.06682463402512479,3.7913185003244183,0.00014984963757593234,0.00025166496042353304
AASS,1376.4936418672503,-1.7097643709666082,0.10629205640704688,-16.079975583202184,3.525178687847628e-58,8.096591600941776e-57
AATBC,146.48574285467015,0.2734030570193184,0.17610313270716166,1.6221457871751048,0.10477213633289696,0.1280460779247345
AATF,3041.8988200567214,0.1947682483938808,0.06623372761393233,3.7208980766452613,0.000198515552676814,0.0003298564288449583
AATK,276.9911780322663,-0.2969770846909045,0.11006455089844047,-2.7655369169743556,0.005682917220609595,0.008135242501741802
ABAT,3267.2821770607,0.8909397872998903,0.16439269483644964,5.597535273880198,2.1742062524031088e-08,4.996749099961306e-08
ABCA1,4565.058270490737,-1.2054295908794672,0.12680088151597174,-9.747308860550605,1.894230718034311e-22,9.952164958234833e-22
ABCA10,677.7180315012474,-3.5750975339275652,0.1729685911435317,-20.726335789949864,2.004862009790917e-95,2.2988574235930812e-93
ABCA12,1488.4151915088148,1.1703113133442642,0.2859388786551414,4.470446640377918,7.805641707962706e-06,1.4612231317959597e-05
ABCA13,53.123458349922956,1.2660058254352893,0.17113836418946324,-4.312620929442686,1.6133058887665028e-05,2.9441705449109025e-05
ABCA2,4004.9758573272593,-0.3150071505591898,0.08595850334087764,-3.778598800998452,0.00015771327820700496,0.00026436906059004815
ABCA3,4982.527687657648,0.2522827144355876,0.11590850629379776,2.7011928746993887,0.006909125866914774,0.009800923566618833
ABCA4,275.18126956363903,0.10502635154715524,0.1759796343303621,0.5804500923626418,0.5616111331868694,0.6006380086578829
ABCA5,2035.7892224321708,-2.015106710374205,0.09770092476025073,-20.853106428343537,1.4284132786076321e-96,1.7164956686372194e-94
ABCA6,1412.4565368727845,-2.49826826492193,0.15187421522226355,-16.621999247083163,4.8294889737238314e-62,1.295424176326887e-60
ABCA7,911.6142510260534,-0.061141192705860124,0.08423369522793822,-0.6738900547788588,0.5003812153792357,0.5418271508226283
ABCA8,3595.980493066867,-3.6233655748397693,0.20191962707219138,-17.63111242075618,1.4214264681985206e-69,5.169793457338978e-68
ABCA9,1700.5267559271867,-3.4562846932875746,0.17323207936909052,-20.062526882025708,1.569044038155477e-89,1.4197958130803264e-87
ABCB1,738.6325242568623,-1.9519792633766275,0.13845714421554473,-14.24827313055081,4.595038140819697e-46,6.806910050616634e-45
ABCB10,1481.244729355731,-0.35654585144141515,0.06616077212231272,-5.348824905294901,8.852713579988813e-08,1.9472340120810068e-07
ABCB5,182.98444844148153,-3.4641625644176193,0.21713215811810405,-16.063668377085683,4.586075180376908e-58,1.048514996719049e-56
ABCB7,1707.023129924458,-0.1590100155059106,0.048169524533363456,-3.35412173258087,0.00079617327946572,0.0012501901349419382
ABCB8,1641.6674531153328,0.5228463427222014,0.07314805083310737,6.974902968880529,3.0608199426277114e-12,9.165984122450329e-12
ABCB9,553.2963984545978,0.6230774397069166,0.107376181969273,5.816403790320303,6.012712281689206e-09,1.437939041287272e-08
ABCC1,3671.751305632749,-0.2186448692005611,0.07044649370606194,-3.5363654690744517,0.0004056730588931265,0.0006550161257265026
ABCC10,1186.0957338384972,-0.15165474921690913,0.06057484216353902,-2.4865734420394734,0.012897994443245193,0.017748330389518695
ABCC11,3569.9547694940584,0.1986259262760995,0.2873549060080323,1.1169731176481557,0.26400581946408397,0.3029512157501914
ABCC2,86.19655919024368,-0.12410886031625812,0.07101077963601943,-8.093178714535657,5.812748234546816e-16,2.164971267818689e-15
ABCC3,1569.7934351453298,-0.535123234932107,0.15173497667034794,-3.70115258419121,0.0002146223620649893,0.0003555577920567116
ABCC4,504.6644973225,0.8381487630560546,0.060403717863576394,2.416789008396141,0.015658090438089266,0.021327545925874037
ABCC5,3529.3566959022046,0.6123797855662151,0.10460187878986206,6.149508692551933,7.772332683647305e-10,1.9747667327649892e-09
ABCC6,530.2357447518517,-2.1782459341824127,0.1852973549754417,-11.96913848145275,5.156121708152723e-33,4.3683081882776114e-32
ABCC8,532.708683945333,0.26342035276187714,0.2344617158563328,1.1816950578241323,0.2373267200362439,0.2743907528990471
ABCC9,2088.1213922725383,-2.002421560093993,0.16123949735916307,-13.003448643852572,1.1694811989050102e-38,1.2467549388752419e-37
