,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,60760.13364961685,-0.30847874716656826,0.0973682829136637,-11.878018369437434,1.539743025306696e-32,1.2645423719590967e-31
A2M-AS1,127.24458866970767,-1.1785435589976105,0.11183516602283083,-10.673507157925663,1.354166049311297e-26,8.238529050913322e-26
A4GALT,1068.677250782112,-0.36634625534460724,0.11719935352117568,-3.2137265193649003,0.0013102440326655535,0.001959495780034775
AAAS,2021.387761328056,0.13936487827224844,0.046486957660753836,2.990599098973831,0.00278430769040022,0.004018359513595474
AACS,4062.1244226710737,-0.23550215160455487,0.12423968769210372,-2.0546200776569665,0.039915714866077784,0.05109279531345159
AADAC,167.64371386818885,-3.920096325455775,0.34449320458329574,-11.59125592226794,4.563908580068816e-31,3.488777138993063e-30
AADAT,251.0883510352604,0.11808882103141609,0.13445543331829835,-1.4913577085442398,0.1358676052729966,0.16210224772086432
AAGAB,4051.5314464563053,0.9964698234902492,0.06602839924011855,14.963305020899838,1.2753190530508303e-50,2.415708385356434e-49
AAK1,3250.2340233129175,0.09319135545584581,0.06581493560620019,1.4751703152832614,0.14016676000942402,0.16678112342376095
AAMDC,420.430107120449,-0.29551744855318784,0.09940641767500062,-5.028263616281526,4.949411508960728e-07,9.70309452833452e-07
AAMP,6253.304140236673,0.28791173852056656,0.0693258511513913,4.076391088166859,4.5740064261464117e-05,7.740665899858636e-05
AAR2,3435.4070814510665,0.2984000272497502,0.05464789209887164,5.837967962630449,5.28413146201091e-09,1.1944761277782675e-08
AARD,2032.1620216643419,1.9668455085154413,0.22666705648466245,8.92791646223102,4.341072558467655e-19,1.780159729750004e-18
AARS1,8760.023450266626,0.45938486477351426,0.07870105491338317,5.503649325032996,3.7200915527086533e-08,7.93292095588255e-08
AARS2,1153.581526463043,0.20524471221113985,0.06755202150466218,3.0001740356788256,0.0026982538664052716,0.003899410364371136
AASDH,1070.0815045555917,-0.1260878354813415,0.05642502711784906,-2.2635354823154445,0.023602699892719067,0.03101803631570718
AASDHPPT,2208.050640033417,0.40999206460399085,0.06676569612769606,6.166356383236835,6.98814905931548e-10,1.6765530589359181e-09
AASS,1376.4936418672503,-1.4575294103468854,0.10630948768056894,-13.783851143596486,3.1880134673694936e-43,4.20062721871554e-42
AATBC,146.48574285467015,0.6299928363003976,0.17765892047311527,3.6994682920178867,0.0002160516296829217,0.00034635128382787267
AATF,3041.8988200567214,0.5199912657040263,0.06640055057839872,8.090228885265425,5.955271551362166e-16,2.062105439672916e-15
AATK,276.9911780322663,0.008431908231131695,0.10984692957675443,0.05789554340175373,0.953831833019938,0.9597229026516418
ABAT,3267.2821770607,1.6332545752348806,0.1636433011211193,10.224332792716467,1.542867295313217e-24,8.482946428587054e-24
ABCA1,4565.058270490737,-1.038740042821398,0.12672866541102998,-8.457413683406504,2.7337275197954162e-17,1.0189409695991798e-16
ABCA10,677.7180315012474,-3.204962841467374,0.17275120927840226,-18.723542899820867,3.182612505068109e-78,2.1059921779131307e-76
ABCA12,1488.4151915088148,1.6859962648882325,0.28899292889571954,6.150792265024735,7.709684553551209e-10,1.8443569307038176e-09
ABCA13,101.82734026268785,1.8113594399686448,0.31194364764368326,0.8725240481598312,0.38292255484381565,0.42287014382509597
ABCA2,4004.9758573272593,-0.03461532813337221,0.08585358327601625,-0.14924643473900123,0.8813591806458068,0.8959123132219439
ABCA3,4982.527687657648,1.0556526709600025,0.11874749456234412,8.81779607870507,1.1673460201279622e-18,4.685917842956205e-18
ABCA4,275.18126956363903,0.33919963317679663,0.1768317657451295,1.969884527624086,0.04885160607508062,0.061798886209683844
ABCA5,2035.7892224321708,-1.5148149223074094,0.0976956085733986,-15.635245207857146,4.188593980232637e-55,9.784894273261966e-54
