,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DPM1,2173.688561399568,0.24032217818571644,0.08808405749611684,2.7534474988952837,0.005897122780966018,0.008616805521096484
SCYL3,801.915681899798,-0.2946644614213913,0.08581633438682255,-3.416772882911112,0.0006336812064854224,0.001037361600835906
C1orf112,531.1163253825777,1.7676338896038262,0.1161385311023864,15.31684997871493,5.900873787731482e-53,1.889015687806432e-51
FGR,3586.1043823795003,-2.230874948240781,0.18792243931687,-12.454981695224047,1.3138162742217102e-35,1.883625976765912e-34
CFH,7597.010098220553,-0.6983208567923973,0.2047026024636269,-3.1879750955197177,0.0014327287587169155,0.0022564342259101017
FUCA2,2650.7398261648145,-0.059381310354278356,0.09970846031845663,-0.8432182536449084,0.3991063914453167,0.4421180011133084
GCLC,7277.689414699353,3.0479801150298216,0.2346134829271104,12.651279463458243,1.1006759176772006e-36,1.668130687046608e-35
NFYA,2072.9097653330987,0.4688272168653644,0.08393455293186135,5.633286060312138,1.768078176040925e-08,4.3713660492418376e-08
STPG1,967.8776091281824,0.15583416912425116,0.10122678863878154,1.5564507767978546,0.11960093888302126,0.14615994102545724
NIPAL3,3462.4427822171015,-0.6262283829678796,0.09539204514985787,-6.369314872071145,1.8987444865026702e-10,5.512229940265482e-10
ENPP4,2583.292215830338,-2.254429514024497,0.17804141706235835,-12.856747277296499,7.882438233970609e-38,1.2789650571831343e-36
SEMA3F,4812.462624734155,1.7799339270493648,0.14515343949286633,12.508397246945615,6.7165765810023e-36,9.821637815220647e-35
CFTR,1541.3920970568297,-3.024884978211587,0.2846908233340269,-11.057640795550666,2.0132330670688694e-28,1.93024674761684e-27
RAD52,510.32284091197306,-0.01754228489143643,0.1215143807718126,-0.16268257933441332,0.8707683639303567,0.8873654048841583
BAD,577.5033116423984,-0.22093725565634878,0.09938834666891182,-2.2240451011632696,0.026145409950366898,0.035255891270316975
LAP3,8746.70622913979,-0.5629978762301718,0.10921608667876687,-4.58759653742311,4.483781079313588e-06,9.012042952521947e-06
HS3ST1,942.7931294626072,1.2934064529504437,0.24887336604705582,5.3589630155460695,8.370098593415856e-08,1.9471638939630963e-07
AOC1,196.89181050089363,1.2426668294083478,0.2973050267465634,4.394216749865748,1.1117285202483828e-05,2.1600499375122522e-05
HECW1,97.36336375177602,2.0957415678522917,0.22025623641839054,9.664636984326304,4.261279857196428e-22,2.7921356272813017e-21
MAD1L1,52.912577707658954,-0.7735303435226121,0.18229015479893199,-4.329564605763554,1.4940443574625194e-05,2.8595767577635644e-05
LASP1,14412.826597727442,-0.1074245582097766,0.08094358940704804,-1.825274148323391,0.06795966929659387,0.08635443041994986
SNX11,1884.2981087708163,-0.222322568495554,0.08550333639214465,-2.615768063704533,0.008902700851132019,0.012737761355299278
TMEM176A,3109.7320042558013,-0.1769856167932252,0.1849784268569628,-0.9205142034870658,0.35730411413473573,0.3997506902162799
M6PR,6250.883115622529,-0.1987747574289149,0.09010178878765482,-2.527758929180139,0.011479314284711169,0.01620893914314375
CYP26B1,708.3872420767316,0.32256536124407603,0.2598304810096818,1.2978376029688783,0.19434314514525697,0.2289766431208713
ICA1,987.8476275302274,-0.99046013552707,0.1947167630009976,-5.302586394087562,1.1417340333880287e-07,2.6278655674303243e-07
ALS2,2056.270121809971,-0.15772223187388362,0.07859428521556588,-2.0093979129941633,0.04449495138851047,0.05807394190787733
CASP10,2065.630961454859,-1.3243855375164828,0.11637565496925396,-11.545514029202472,7.777510342310018e-31,8.535859176827488e-30
CFLAR,11648.98593212605,-1.6032631889266549,0.11239542762239617,-15.091453886253117,1.843352669656078e-51,5.468968093904488e-50
TFPI,9602.135818969116,-1.891371994574036,0.21914480836851227,-9.165386243374058,4.936985405007698e-20,2.8291664036586723e-19
NDUFAF7,730.0069823449388,0.025409253768624268,0.08349205906498249,0.3063597776543183,0.7593307296941513,0.7865044111281139
RBM5,3043.538219538248,-0.1332816609095585,0.08574514932960936,-1.4391852596773755,0.15009804058942244,0.1802253297719843
MTMR7,99.53906293956523,-0.33142344322339057,0.18729734646796017,-1.8244320715166749,0.06808677709201208,0.0864802601388107
SLC7A2,3135.6927819386624,-0.6202951167080267,0.28570236203873295,-2.3777634095541726,0.01741799756018291,0.024064811703158048
ARF5,5637.190405994754,0.4230282529672226,0.08457021910801359,5.8410989496767005,5.185759008909182e-09,1.3397704231406642e-08
SARM1,337.42946482142816,-0.7443729544557943,0.14215257644626386,-5.3083497462656775,1.1062222193825074e-07,2.5480343656023707e-07
POLDIP2,7032.790606036608,0.5594380758985169,0.08186798246672067,6.909481575507269,4.864280387694831e-12,1.585524754651249e-11
PLXND1,12962.938742214823,-1.629238497003389,0.13821739194886457,-11.662213242681982,1.98806465808099e-31,2.2558746945564544e-30
AK2,7051.343093833067,0.11347060039704504,0.0696699765672868,2.0174981851325415,0.04364355023268009,0.057038141782618235
CD38,1626.0208548082487,-1.019339723421396,0.21265133795274443,-4.956032621661765,7.194714159649719e-07,1.5472654836632175e-06
FKBP4,7113.940190175673,1.5648631469032708,0.10177984519942801,15.473690222061403,5.222541632120241e-54,1.767399913217307e-52
KDM1A,6033.835704179222,1.09107619660091,0.0901904363012184,11.964858385647984,5.42901337762871e-33,6.741608708768296e-32
RBM6,3721.6107683566493,0.09761301336951721,0.0946012091803813,0.983102340491881,0.3255570725097017,0.36754364707855314
CAMKK1,807.350583211337,0.16315188010565365,0.11545666376776512,1.3961367508509077,0.16267331872570623,0.1941287887885317
RECQL,1881.281532352958,0.1278495642919839,0.10407710676026816,1.091506961785118,0.27504987023021354,0.31568410120787327
VPS50,1507.906659984097,-0.32096676813415376,0.09275377427687745,-3.5174245803804576,0.0004357561621418451,0.0007260088059575992
HSPB6,362.9078397033678,-3.5733581983650486,0.21460113519885599,-16.744055240098437,6.257606349987581e-63,3.011081955534649e-61
ARHGAP33,458.5289985062268,0.42434500583449297,0.19802461884850647,2.20541010657434,0.02742532948367718,0.03688490028733175
NDUFAB1,2544.414020324112,0.46616376230734424,0.08830198814771216,5.347054595266615,8.939705731112567e-08,2.0743458235031842e-07
SLC22A16,26.705640980454486,0.0705120776389082,0.30677325912048126,0.24578275214215378,0.8058504093786453,0.8287793617160285
ZMYND10,857.1167880184115,-2.2627067903079885,0.36932226970400034,-6.524490373079003,6.823313236581638e-11,2.0492564309905217e-10
ABCB5,15.846078553424894,-0.9188300043515686,0.332768232132268,-2.9675900241670647,0.0030014437418255002,0.0045515295190692385
ST7,2182.1822096810974,-1.3184131853782808,0.08968958518383868,-14.732350563169168,3.995626364196182e-49,1.0812768849893289e-47
CDC27,4148.102897194014,0.1359401449285852,0.07566732680399958,1.8825352658407948,0.059763376309470595,0.0765269412401853
SLC4A1,25.549757064171114,-2.5800971993961306,0.2250571580200405,-7.194654002166902,6.261935320274209e-13,2.1721396724843946e-12
CALCR,16.5419682800714,-0.7928081277745148,0.21540283238303154,-3.760449923041652,0.00016960802652358486,0.00029403562175300157
DVL2,2380.4151220750714,0.7972221794552591,0.09335894493714897,8.691751971226422,3.568925644506558e-18,1.7987304561869284e-17
PRSS22,1426.0418092928855,1.7318500646987265,0.2459183489314044,7.281852457636941,3.2926708220394256e-13,1.167139625178708e-12
