,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DPM1,2173.688561399568,0.6675864031327615,0.08823086225218167,7.672910915174212,1.6813626796234054e-14,5.921688595800822e-14
SCYL3,801.915681899798,0.25211166267262736,0.08569756265977244,3.0103942172335905,0.0026090881259423267,0.0038599864491986884
C1orf112,531.1163253825777,2.369576541374485,0.11606751463836876,20.489393064342018,2.6770967446951135e-93,3.031024681971717e-91
FGR,3586.1043823795003,-2.1317267521327086,0.1877747496632072,-11.882712546865584,1.4556569082816898e-32,1.4726810166702666e-31
CFH,7597.010098220553,-0.3488426311102384,0.20722566953395904,-1.8563211032500992,0.06340780285926546,0.07971532890487995
FUCA2,2650.7398261648145,0.12739145003380378,0.09968252401377248,1.3150146399390006,0.18850498232202506,0.22021088823264864
GCLC,7277.689414699353,3.1918670927333666,0.22937288861187213,14.07121538903467,5.707990460910778e-45,1.0810779473198544e-43
NFYA,2072.9097653330987,0.6949402631828432,0.08391347016635432,8.322407191622016,8.619460751973859e-17,3.5430447586463823e-16
STPG1,967.8776091281824,0.17827756351011886,0.1011380031332817,1.7411122991199424,0.08166389589429221,0.10115523039017871
NIPAL3,3462.4427822171015,-0.5398811619502133,0.09518178344862352,-5.810757011532179,6.219097574656451e-09,1.4575595807391176e-08
ENPP4,2583.292215830338,-2.0588939183147468,0.1779487535409841,-11.78368779542677,4.737407026531432e-32,4.658147726342976e-31
SEMA3F,4812.462624734155,1.1216996978660696,0.14477771183660965,8.051221431874568,8.197180926728587e-16,3.1594541153884053e-15
CFTR,1541.3920970568297,-2.8243792476615606,0.2826581001486891,-10.24541234555194,1.2409460270443843e-24,8.18684101303746e-24
RAD52,510.32284091197306,0.590754006882969,0.1217575353940033,4.915025303694053,8.87709932733445e-07,1.7676138037281244e-06
BAD,577.5033116423984,0.06584971140118029,0.09929962842127465,0.6326226482856249,0.5269800935044259,0.5671393460321172
LAP3,8746.70622913979,-0.6451019967783481,0.1105786744449469,-5.5734215574401995,2.4978415147228908e-08,5.6009558240429695e-08
HS3ST1,942.7931294626072,1.3107548024356739,0.2488299806050554,5.423846290477452,5.833004633946575e-08,1.2725503733849442e-07
AOC1,149.55941471645846,1.5474056831466865,0.2627671944795218,3.9741405097740845,7.063385760686637e-05,0.00012077958239095262
HECW1,97.36336375177602,2.487071849648798,0.22008580979063558,11.452518158124615,2.2841217464690527e-30,2.0603928911617152e-29
MAD1L1,52.912577707658954,-0.3301752343630309,0.18106447268633372,-1.8712051151547022,0.06131665605322214,0.07721245256031357
LASP1,14412.826597727442,0.09583539641781487,0.08113249636662875,1.3018028764067053,0.19298378027033203,0.22505030661940112
SNX11,1884.2981087708163,0.07459932340408537,0.08562092397292413,0.9777124063836813,0.3282165839888278,0.3683240493096376
TMEM176A,3109.7320042558013,9.194377168899876e-05,0.18481097541001018,0.11746200476161278,0.9064939513723881,0.9175778242987137
M6PR,6250.883115622529,0.2760082724815174,0.09031557906822855,3.2430535848472988,0.0011825596804492602,0.0018160021900426558
CYP26B1,708.3872420767316,0.775171984979292,0.26201844581812334,3.179770213131069,0.0014739187957041543,0.0022397514671126583
ICA1,987.8476275302274,-0.526360996686145,0.19381452034823524,-2.910276685460647,0.0036110892040253895,0.005270978440002175
ALS2,2056.270121809971,0.22704565405096735,0.07853305916984041,3.1270151714829773,0.0017659081431769816,0.002662696199435876
CASP10,2065.630961454859,-1.0387787068064902,0.11658502394642142,-8.985533271438696,2.57482592143128e-19,1.2351143158317397e-18
CFLAR,11648.98593212605,-1.3693474819987943,0.11214272836572603,-12.494235236545657,8.026440427626553e-36,9.793274936972557e-35
TFPI,9602.135818969116,-1.674636915848465,0.2189026158684437,-8.13553532412323,4.1012202822656523e-16,1.6072942200643042e-15
NDUFAF7,730.0069823449388,0.6043478029600984,0.08350414523402715,7.261589857261364,3.8256672443920086e-13,1.2257100338982137e-12
RBM5,3043.538219538248,-0.6267013286031102,0.08546821302564987,-7.401590822025184,1.3456259513045495e-13,4.444433375844585e-13
MTMR7,99.53906293956523,-0.29274723328020913,0.18692566127228968,-1.6154003782590036,0.10622401839065924,0.1292176832974697
SLC7A2,3135.6927819386624,-0.7900373404533074,0.2868246811701708,-2.979807164371151,0.002884298923026077,0.004248774018631544
ARF5,5637.190405994754,0.762363893936926,0.08458751949228771,9.12228858158301,7.35543638971239e-20,3.653516436412625e-19
SARM1,337.42946482142816,-0.36906893549034314,0.14169638309417174,-2.6455958889032267,0.008154717109126882,0.011459919142679175
POLDIP2,7032.790606036608,0.9090867001370717,0.08222046770937687,11.313110014357623,1.1301142478978143e-29,9.803661515003124e-29
PLXND1,12962.938742214823,-1.138211805171192,0.13612037920524697,-7.49711922602193,6.523563820990711e-14,2.2013989856588862e-13
AK2,7051.343093833067,0.2634046997225231,0.0696830759989725,3.9700090473572245,7.186990271449929e-05,0.00012283857942034187
CD38,1626.0208548082487,-1.1207122853840163,0.21274535721240087,-5.439910549965601,5.3307329466601524e-08,1.1664434547772207e-07
FKBP4,7113.940190175673,2.1124028750674135,0.10149070103735423,21.107887912618143,6.731432585757248e-99,9.254517763883045e-97
KDM1A,6033.835704179222,1.2524933226284962,0.09064002215759939,13.592438376686061,4.440367618692033e-42,7.407668536578539e-41
RBM6,3721.6107683566493,-0.39348175509012007,0.09463652089062363,-4.272766440437674,1.9306264951702584e-05,3.458327916778925e-05
CAMKK1,807.350583211337,0.09342036637104556,0.11551380940290644,0.8284855349120877,0.4073955835644534,0.4485575399160138
