,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
G1,5483.345668190961,0.01604460081953276,0.15186877445697342,1.357693903497849,0.17456083208945905,0.8058513345212303
G2,53.27347106141176,0.0016296702954878635,0.15313006382597708,0.9480324262710133,0.3431129467767545,0.896811116274628
G3,38.94090204945895,0.02276584122796746,0.17054580315067983,1.6948343657371225,0.09010684624994102,0.7475507101954327
G4,43.16564016088549,-0.041077033193291326,0.15201368945671206,-0.06855695074109525,0.9453422865321873,0.9976862074180624
G5,79.03768673281373,0.0059439469600727785,0.15033621414090706,1.430882192796982,0.1524639813862655,0.8058513345212303
G6,350.31853924462337,-0.019202671897057495,0.14437184387661464,1.4898251791745716,0.1362702087593834,0.8058513345212303
G7,84.08112041835987,0.027820584572479587,0.16801601487388995,2.063639351268207,0.03905192362746399,0.6285977804701214
G8,49.1851784827418,-0.09879741259804468,0.21168375520761548,-0.9223203679237653,0.3563614929399507,0.8969876557977874
G9,886.0231595622997,-0.9910552676513709,0.36340147840847,-1.7796573758156862,0.07513205014787097,0.7224235591141439
G10,427.70584665602667,-0.004606971275051627,0.1485769851641984,1.3086206339286972,0.1906628878961214,0.8195842898828033
G11,274.3749703737082,-0.06394046960354313,0.16697087566327518,-0.6630941474137957,0.5072702587431758,0.9626137022774808
G12,218.69795585041635,-0.06543015061649962,0.1674255264224809,-0.25600420386065253,0.7979475912501222,0.9926469958099811
G13,186.8864194818345,-0.7789679744586628,0.47124575372947525,-1.3096937887556737,0.19029944564862866,0.8195842898828033
G14,78.27361579976947,-0.09388775760352927,0.20395994583963845,-1.4272255913472385,0.1535148802568099,0.8058513345212303
G15,202.17785803761814,-0.6573134455494158,0.6701026089867178,-1.7993638072040932,0.07196115080282235,0.718149968590853
G16,60.6514780810733,-0.0813428211076094,0.1859935310077153,-1.284397535593334,0.1990028948096374,0.8257381527370847
G17,28.051250155374838,-0.047326812855148004,0.15273872523396517,-0.945682175562896,0.3443107164911432,0.896811116274628
G18,335.32401182414327,-0.019295466923507122,0.14784640040208977,0.16440476719722663,0.8694125109578115,0.9926469958099811
G19,177.05265761584783,-0.017077792863961192,0.14592185607734517,0.8368106896287559,0.4026989877922006,0.9131496321818607
G20,368.0665539658295,-0.01020492859346682,0.14752147668302032,1.300929394164809,0.19328262363134563,0.8195842898828033
G21,16.724376895015755,-0.011664305611326984,0.14809432694679925,0.6151104487116792,0.5384817821570889,0.9663400739697419
G22,95.71320274009983,-0.019660220693289602,0.14749947670767674,0.28260966725588665,0.7774760689215214,0.9926469958099811
G23,347.84021451157,-0.000947228043745935,0.14896618768329373,0.8191364536933368,0.4127085656360122,0.9212244768660988
G24,283.7994639198162,-0.03672800985467604,0.15012427391082764,-0.15195380939420716,0.87922336725397,0.9926469958099811
G25,510.6822881797214,-0.02516882993763451,0.14578062884698975,0.7828992388812855,0.43368628450268554,0.9266800950912084
G26,127.93573982973517,-0.09135463824881719,0.20034992836499405,-1.2585153818397736,0.2082054278857257,0.8378084267828582
G27,362.48376262588,-0.06409624929809843,0.16723440213676374,-0.6937866120925147,0.4878160397260939,0.9601470088747699
G28,149.46003329804202,-0.08623784053986759,0.19019868703060203,-0.833753209235682,0.4044200673398288,0.913396014056763
G29,225.9103765586295,-0.03211538500784011,0.14927706815920502,0.036620662152568643,0.9707874685636666,0.9976862074180624
G30,50.503250449969265,-8.26436209859397e-06,0.1534717737671259,0.555369632221331,0.5786418595837457,0.9741445447537807
G31,921.7213172695974,-0.024712818177377506,0.1478328864510691,0.8783292179497793,0.3797650841681244,0.8969876557977874
G32,244.88406391817202,-0.04659675038622412,0.1543748125610005,0.22168388420227159,0.8245599765285897,0.9926469958099811
G33,44.29660080304241,-0.03465274574958019,0.14947612478814054,-0.3299024523466748,0.7414736704437724,0.9926469958099811
G34,9.071016747195078,-0.00504399257672976,0.15132713899318714,0.10372680276352816,0.9173861558523957,0.9976862074180624
G35,91.21469312094652,-0.05411765202254174,0.1587102007476246,0.3648234842814558,0.7152431736511654,0.9905794356070735
G36,640.9006884087024,-0.6638146448043911,0.30024203571483093,-0.764733594733323,0.44443019719916477,0.9295265756148191
G37,163.25780727055692,-0.8604295497643801,0.4033018543920254,-1.591113963239821,0.11158393064479424,0.7807330574398617
G38,234.92430046384501,-0.05082629223953263,0.15729872625527577,-0.6983088085670539,0.48498409170348833,0.9601470088747699
G39,20.57209221370557,0.0026292333766600386,0.15851045246439116,0.6656420106265671,0.5056399472834334,0.9626137022774808
G40,693.3066908105119,-0.04676657334461585,0.15472250542516283,-0.1111792402022383,0.911474213480734,0.9976862074180624
G41,318.08067990243933,-0.021579894039829406,0.14758720578354564,-0.2410950683978792,0.8094814349096578,0.9926469958099811
G42,68.54134539121524,-0.013657413151612634,0.14809511100044898,0.4609955411128495,0.6448018041348501,0.9798113571088305
G43,1134.2149444965153,-0.058281286169835446,0.16264921996789758,-0.8424045770864026,0.39956153188828825,0.9129429904195119
G44,33.4652172367728,0.02049548054351623,0.16707887050519482,1.7864696718511006,0.0740232435320049,0.7186722673010184
G45,187.62336340968906,-0.05399545891520706,0.15919698886769573,-0.8487070520180852,0.39604432118938915,0.910446715377906
G46,418.08185823698494,-0.04485559606312511,0.15366437059401464,-0.6584097100991284,0.5102748976042484,0.9626137022774808
G47,841.152696136742,-0.1238223417385094,0.2475577361188204,-1.0699288384788017,0.2846513411460674,0.8664906312743227
G48,69.64825064048264,0.009021062996525235,0.15095931663422965,1.2542156685512131,0.20976362626672396,0.8378084267828582
G49,84.5073586388698,-0.8134255825857151,0.4120575304639096,-0.7554325819954932,0.4499894697605282,0.9295265756148191
G50,165.4270432752344,-0.09194026729562055,0.19966880297007336,-0.4435516541518482,0.6573667659049341,0.985623522913385
G51,304.3667613653007,-0.07224525889737436,0.17390821330629863,-0.5099591036388469,0.610080113420177,0.976827152418458
G52,172.1091907456846,-0.045627443266710734,0.153853235894393,-0.9252580667295387,0.35483168546923627,0.8969876557977874
G53,795.1776778191169,-0.055749612493886276,0.16027879071058532,-0.11285239048091658,0.9101475820048355,0.9976862074180624
G54,343.71675495880686,-0.05066898887825695,0.15726796192207468,-0.22789955043176435,0.8197243322307332,0.9926469958099811
G55,69.66116760492739,-0.017393863221424718,0.14667022688113354,0.198021876278379,0.8430279478390967,0.9926469958099811
G56,449.0511407121019,-0.7772442328954537,0.40157506889208056,-1.4891719163330837,0.1364421040075844,0.8058513345212303
G57,85.4295904392408,-0.006209615475130832,0.15021254423083794,0.6796349596690048,0.49673562795146353,0.96080392253668
G58,303.98957530529776,-0.07225215056507911,0.17489591242462427,-0.797513256792116,0.42515300676986567,0.9235709818228724
G59,499.5347671985058,-0.028269797864475334,0.14675228896343404,1.2757427809532056,0.2020464602628662,0.8314669146620008
G60,68.2452645480305,-0.050665789913950855,0.1559224116897197,-1.111511481752591,0.2663482506439907,0.8624193011109076
G61,87.78794779249179,-0.05860192169020092,0.16265243613867483,-0.5501979997099375,0.5821835754042766,0.9741879671117909
G62,1419.4509046607468,0.00900460494427346,0.15102286557999214,1.203653718296488,0.2287234475455926,0.8430381856767819
G63,439.1765762933991,-0.12048570695941317,0.2307834197956015,-0.01530183117409523,0.9877913815893068,0.9976862074180624
G64,323.43049546896924,-0.008243191087613856,0.14713855547090401,0.9407875634772159,0.3468137353664492,0.896811116274628
G65,67.83668625634343,-0.029615156120744394,0.14866002344655554,-0.07802619619026172,0.9378072149653415,0.9976862074180624
G66,115.8641401644248,0.0069264544281720875,0.15595773577616184,0.8559488948033939,0.3920260479622353,0.9054023342910147
G67,52.653626216307956,-0.027207212950398733,0.14806316497133204,-0.020016772044552312,0.9840299930892027,0.9976862074180624
G68,213.31389027486642,-0.009416053635421251,0.14859118892145595,0.6125339482477732,0.5401845442585753,0.9663400739697419
G69,312.614997739358,-0.08139573474764195,0.1815907114656583,-0.026996289541283802,0.9784626934713893,0.9976862074180624
G70,312.85896121319536,-0.04780967608237194,0.15491736985969962,-0.2615191821066608,0.793692158902285,0.9926469958099811
G71,127.82564171366155,-0.017585150959293753,0.14736992875857655,0.48655991964910306,0.6265702328121467,0.979794225845156
G72,71.95194176131557,-1.022877518942012,0.4508358396937965,-1.717838439449222,0.08582608800570417,0.7389664078892468
G73,85.4494904144819,-1.860719000157677,0.46940680290670506,-3.7536132663580353,0.00017430371663057777,0.17430371663057778
G74,285.7235274274607,-1.044601463350373,0.382929711360731,-1.8225919104905905,0.06836522175575487,0.718149968590853
G75,441.39745711950246,-0.5886385002168615,0.3032903148249188,-0.5013715334228359,0.61610967008929,0.979794225845156
G76,713.1304601713707,-0.037837585337689654,0.15090455944892558,0.17323153357718557,0.8624694381184739,0.9926469958099811
G77,1428.335386547951,-0.06689008751969709,0.16916004173202243,-1.3416643608036545,0.17970484759823435,0.8058513345212303
G78,659.933896642144,-0.025651879385680355,0.14764792859727213,0.1526277940199679,0.8786918053374432,0.9926469958099811
G79,118.87340404751315,-0.02938676164448064,0.14840903405125777,0.37418021289502196,0.7082702443321816,0.9905794356070735
G80,60.79785952939436,-0.05836304031679541,0.1619845581097158,-0.374146794169314,0.7082951059677838,0.9905794356070735
G81,71.41627507452344,-0.02615473899293907,0.1478443068603363,-0.23812254868532726,0.8117860463528764,0.9926469958099811
G82,559.5892172594663,-0.046936827893903285,0.15507060058892325,0.3399967148543175,0.7338590018881885,0.9905794356070735
G83,227.3693037243771,-0.021859229157306547,0.14750718302000884,0.11869146933622096,0.9055197952548629,0.9976862074180624
G84,177.36940293226198,-0.024441463763757405,0.14793556648339612,0.525447798970082,0.5992719326812384,0.9744259067987615
G85,362.59574313867677,-0.058344491347741965,0.1617946020011213,-0.5619721049626106,0.5741350248924013,0.9741445447537807
G86,329.0175157141489,-0.0029488191303131996,0.1501132055680699,0.39429135743657284,0.6933659433179689,0.9905794356070735
G87,484.00733721558146,-0.006726866247007952,0.14426014160875977,0.9915068708166601,0.32143813902972607,0.896811116274628
G88,20.82978743299216,-0.033642866507251415,0.14863955252421768,-0.23919863679004208,0.8109515596725877,0.9926469958099811
G89,61.955588011783824,-0.06330722264662432,0.1659922330279605,-0.30645982317228065,0.7592545655786852,0.9926469958099811
G90,150.97171812885495,-0.12175107848905663,0.24689177920689206,-0.9320669213598168,0.35130194169083906,0.8969876557977874
G91,2367.6127952329457,-0.017832938532509793,0.14754857119179812,-0.06109908629117831,0.9512802968271455,0.9976862074180624
G92,523.1288675582064,-0.08053864541892494,0.18060040443295516,-1.130043051547244,0.25845808424332184,0.8624193011109076
G93,70.76317265400328,-0.026430337052326232,0.1480942565821697,-0.041130451622918104,0.967191898253041,0.9976862074180624
G94,170.91932657819365,-0.06553211168082626,0.16837802511096917,-0.8333729344826878,0.40463443422714596,0.913396014056763
G95,78.53431978961927,0.008852102308471659,0.15383741571917373,1.4674753174951194,0.14224679888965822,0.8058513345212303
G96,60.34687328466239,-0.038282002168740024,0.1496619186408562,-0.00485779110805399,0.9961240587194482,0.9976862074180624
G97,27.96868580236075,-0.009998031079620608,0.14841155277601817,1.0020322675895401,0.31632800870619626,0.896811116274628
G98,330.5285945223477,-0.017195915265212542,0.14707134780189657,0.7686814889311206,0.4420824165563296,0.9295265756148191
G99,362.98713913582367,-0.011917666302539829,0.14755371844160375,0.18638644365607687,0.8521417225555685,0.9926469958099811
G100,636.2366619917885,-0.5469613435134832,0.39677946816820936,-1.3097294750860533,0.1902873686333677,0.8195842898828033
G101,161.52765937329823,-0.047339292521732086,0.15507451314649223,-0.37135900313714504,0.7103701565789179,0.9905794356070735
G102,2680.0828244719432,-0.015921883873784105,0.14880418363336959,0.5564023802408132,0.5779358120953497,0.9741445447537807
G103,77.5951576080538,0.005104316483126759,0.15078464760240334,1.4850346307256352,0.1375346506722788,0.8058513345212303
G104,327.7501795368401,0.040927260013102956,0.16424229638116417,2.1497958689098775,0.03157136511206096,0.6238198588697511
G105,29.232994536165297,-0.008337939329751498,0.14896842653617517,0.806879946547289,0.4197356533191946,0.9235709818228724
G106,542.8065706536817,-0.3458422447868154,0.5463426795323263,-0.8721788693040082,0.38311080521110774,0.8969876557977874
G107,1316.9324624787487,-0.019132574319083336,0.14779573441061597,0.042023679111318976,0.9664798215869778,0.9976862074180624
G108,121.1676965196607,-0.022919566815393963,0.1479999459976207,0.15301025884279937,0.8783901851716626,0.9926469958099811
G109,55.804719668897256,-0.03559442636680139,0.1502278080061731,-0.5146768620841811,0.606778844596018,0.976827152418458
G110,294.45787302429824,-0.027285796161558323,0.1453691404176676,1.2667134697204037,0.20525776192038325,0.8343811460178182
G111,262.97097328393863,-0.03233559036188227,0.14896826825447457,0.16727622002411482,0.8671527141713626,0.9926469958099811
G112,50.54778212669405,-0.023088234454332956,0.1476982247539115,0.4845492636734031,0.6279961110238084,0.979794225845156
