,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
G1,5483.345668190961,0.5530017456956322,0.4073096072469537,1.3576938423658262,0.17456085149537837,0.8058512712015613
G2,53.27347106141176,0.4650685447768852,0.490561876822357,0.9480323823559091,0.34311296913252,0.896811089983882
G3,38.94090204945895,0.88865936706364,0.524334062532273,1.6948343252236118,0.09010685393757023,0.7475507157895047
G4,43.16564016088549,-0.02887972659820339,0.4212512223428935,-0.0685570155442674,0.9453422349481034,0.9976862266464515
G5,79.03768673281373,0.5643741121736778,0.39442390072871925,1.430882132474646,0.15246399867749172,0.8058512712015613
G6,350.31853924462337,0.5025219642134786,0.33730266068692366,1.489825082286877,0.1362702342413677,0.8058512712015613
G7,84.08112041835987,0.9215026632826433,0.44654250567524,2.0636392987699828,0.039051928608731426,0.6285978145974676
G8,49.1851784827418,-0.3624567707385633,0.3929835562376172,-0.9223204507809076,0.35636144973352923,0.8969877053549238
G9,886.0231595622997,-0.6050529994596904,0.33998283989946443,-1.779657466355094,0.0751320353215569,0.7224234165534318
G10,427.70584665602667,0.5386217217048079,0.4115950309576646,1.3086205643726756,0.1906629114690086,0.8195842074857579
G11,274.3749703737082,-0.27780980438288877,0.41895977717432376,-0.6630942145725262,0.5072702157336926,0.9626136632049022
G12,218.69795585041635,-0.09423496248905137,0.3680991624931946,-0.25600428387498325,0.7979475294660676,0.9926469778295712
G13,186.8864194818345,-0.520138130828354,0.39714481557313097,-1.3096938709315087,0.19029941783792514,0.8195842074857579
G14,78.27361579976947,-0.5752392873989796,0.4030471925446473,-1.4272256401717964,0.15351486618806595,0.8058512712015613
G15,202.17785803761814,-0.8206541703882939,0.4560801683359366,-1.7993638561013283,0.07196114307308871,0.7181499860393343
G16,60.6514780810733,-0.5590221747376481,0.4352407520178362,-1.2843975940808487,0.1990028743555362,0.8257380678652956
G17,28.051250155374838,-0.5006817999077682,0.5294397891770533,-0.9456822289197686,0.34431068926836583,0.896811089983882
G18,335.32401182414327,0.08444449337841531,0.5136378897794995,0.16440471985948432,0.869412548220857,0.9926469778295712
G19,177.05265761584783,0.3122117307154489,0.3730972386809204,0.8368106175732329,0.4026990283010149,0.9131497240385825
G20,368.0665539658295,0.5321073184592678,0.40902093030883035,1.3009293144424208,0.1932826509221689,0.8195842074857579
G21,16.724376895015755,0.32292250743952566,0.5249830134126335,0.6151103925065676,0.5384818192726358,0.9663400890016477
G22,95.71320274009983,0.12168451697433683,0.4305745739805492,0.28260962055746885,0.7774761047228436,0.9926469778295712
G23,347.84021451157,0.32856140009762513,0.40110706412348834,0.8191364089176733,0.41270859117946856,0.9212245338827424
G24,283.7994639198162,-0.07289848125714833,0.47974087570377344,-0.1519538670750272,0.8792233217596095,0.9926469778295712
G25,510.6822881797214,0.2724325492587217,0.3479791045574202,0.7828991617333375,0.43368632980998023,0.9266801919016672
G26,127.93573982973517,-0.5275419083824247,0.41917793655047975,-1.2585154474581826,0.2082054041700938,0.8378083981936904
G27,362.48376262588,-0.2915982291290641,0.4202995504061438,-0.6937866786849687,0.48781599795811625,0.9601470278642283
G28,149.46003329804202,-0.3033530889667254,0.3638403557817262,-0.8337532770793351,0.4044200291013521,0.9133959420927962
G29,225.9103765586295,0.015851250333471643,0.4328506269403663,0.03662060153526234,0.9707875168968595,0.9976862266464515
G30,50.503250449969265,0.2916999797063231,0.5252357690847488,0.555369601378493,0.5786418806757813,0.974144580262258
G31,921.7213172695974,0.3461262623289021,0.3940735294364011,0.8783291352350598,0.37976512904286874,0.8969877053549238
G32,244.88406391817202,0.08420840152547464,0.37985816019319757,0.2216838029296142,0.8245600398008133,0.9926469778295712
G33,44.29660080304241,-0.1573186768968003,0.47686415219801226,-0.3299025019424726,0.7414736329679146,0.9926469778295712
G34,9.071016747195078,0.08329881770328554,0.8030599001439853,0.10372678014224146,0.9173861738047341,0.9976862266464515
G35,91.21469312094652,0.136076795718026,0.37299361678539744,0.3648233899839579,0.7152432440456723,0.9905794541143439
G36,640.9006884087024,-0.20976669347451712,0.2743003072999163,-0.7647337166310975,0.4444301245978781,0.9295265605163128
G37,163.25780727055692,-0.5735581740293555,0.3604758412603601,-1.5911140453240329,0.11158391217507761,0.780733050556974
G38,234.92430046384501,-0.288764099679607,0.4135191744240015,-0.6983088512928858,0.48498406498930224,0.9601470278642283
G39,20.57209221370557,0.4434265005393353,0.6661636519975517,0.665641992338791,0.5056399589753987,0.9626136632049022
G40,693.3066908105119,-0.046728300331763714,0.42029672762983616,-0.11117931037740145,0.9114741578340394,0.9976862266464515
G41,318.08067990243933,-0.0997694469996974,0.413817827923115,-0.24109509128793263,0.8094814171692016,0.9926469778295712
G42,68.54134539121524,0.2123025184286132,0.4605305766267398,0.460995489124025,0.6448018414343157,0.9798113436319493
G43,1134.2149444965153,-0.3474803979020329,0.4124863390634813,-0.8424046204559417,0.39956150762066156,0.912943006766137
G44,33.4652172367728,0.9161774404368239,0.512842440078037,1.7864696227118275,0.07402325148167417,0.7186723444822735
G45,187.62336340968906,-0.3670260865691001,0.43245318336745936,-0.8487070986762392,0.39604429522036366,0.9104466556789969
G46,418.08185823698494,-0.29853664437097766,0.4534207493715387,-0.6584097547030274,0.5102748689506726,0.9626136632049022
G47,841.152696136742,-0.353841975004575,0.3307154088188941,-1.0699289043358284,0.284651311500255,0.8664906396535383
G48,69.64825064048264,0.483012458602678,0.3851111811503533,1.2542156193956429,0.2097636441286317,0.8378083981936904
G49,84.5073586388698,-0.2709537737773014,0.35867361193241787,-0.7554326963656172,0.4499894011593779,0.9295265605163128
G50,165.4270432752344,-0.17051838162836902,0.3844385284371658,-0.4435517488883512,0.6573666973977255,0.9856234341339817
G51,304.3667613653007,-0.18590258578373872,0.36454405720193545,-0.5099591725912017,0.6100800651122704,0.9768271382567217
G52,172.1091907456846,-0.4319277744865465,0.46681869221194155,-0.925258096328426,0.35483167007652416,0.8969877053549238
G53,795.1776778191169,-0.043219578389573195,0.38297414784282935,-0.11285246963278131,0.9101475192516615,0.9976862266464515
G54,343.71675495880686,-0.09661661645109024,0.4239437425739775,-0.22789961673801754,0.8197242806822005,0.9926469778295712
G55,69.66116760492739,0.07890692625771524,0.39847588789898875,0.19802183432920206,0.8430279806598531,0.9926469778295712
G56,449.0511407121019,-0.5288924757732733,0.35515875866687524,-1.4891719910231846,0.1364420843445654,0.8058512712015613
G57,85.4295904392408,0.33016460876719683,0.4857970085932223,0.6796349152566667,0.49673565607970593,0.9608039769433384
G58,303.98957530529776,-0.3251067425360678,0.4076505478791175,-0.7975133217102243,0.42515296908262745,0.9235709997943166
G59,499.5347671985058,0.4472502783000177,0.3505803219036713,1.2757426768034867,0.20204649709160039,0.8314670662205778
G60,68.2452645480305,-0.549685614198035,0.4945388379400325,-1.1115115174527295,0.2663482352860246,0.8624193592327747
G61,87.78794779249179,-0.22887824197238588,0.4159924572771266,-0.5501980576054324,0.5821835356987937,0.974187942953195
G62,1419.4509046607468,0.4552131651044912,0.3781928095447913,1.2036536750987012,0.2287234642489009,0.8430381857084451
G63,439.1765762933991,-0.00462915384230518,0.30252067512386077,-0.01530194205870349,0.9877912931265471,0.9976862266464515
G64,323.43049546896924,0.3719859723207022,0.3953985069103384,0.9407874987374566,0.34681376854964485,0.896811089983882
G65,67.83668625634343,-0.03365905877816859,0.43138126676172667,-0.07802624122006707,0.937807179145957,0.9976862266464515
