,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
G1,5483.345668190961,0.016044600676760695,0.15186877478575675,1.3576938423658262,0.17456085149537837,0.8058512712015613
G2,53.27347106141176,0.0016296703015855965,0.15313006421701839,0.9480323823559091,0.34311296913252,0.896811089983882
G3,38.94090204945895,0.02276584135357391,0.17054580360446808,1.6948343252236118,0.09010685393757023,0.7475507157895047
G4,43.16564016088549,-0.04107703342607213,0.15201368990992054,-0.0685570155442674,0.9453422349481034,0.9976862266464515
G5,79.03768673281373,0.005943947013837426,0.15033621450771129,1.430882132474646,0.15246399867749172,0.8058512712015613
G6,350.31853924462337,-0.01920267197757696,0.14437184421886748,1.489825082286877,0.1362702342413677,0.8058512712015613
G7,84.08112041835987,0.027820584729068405,0.16801601531512755,2.0636392987699828,0.039051928608731426,0.6285978145974676
G8,49.1851784827418,-0.09879741332643992,0.21168375648297394,-0.9223204507809076,0.35636144973352923,0.8969877053549238
G9,886.0231595622997,-0.9910552678594782,0.3634014783722926,-1.779657466355094,0.0751320353215569,0.7224234165534318
G10,427.70584665602667,-0.004606971299935772,0.14857698553110918,1.3086205643726756,0.1906629114690086,0.8195842074857579
G11,274.3749703737082,-0.06394046997169794,0.16697087626338333,-0.6630942145725262,0.5072702157336926,0.9626136632049022
G12,218.69795585041635,-0.06543015100982522,0.16742552701521876,-0.25600428387498325,0.7979475294660676,0.9926469778295712
G13,186.8864194818345,-0.7789679760402203,0.4712457532017259,-1.3096938709315087,0.19029941783792514,0.8195842074857579
G14,78.27361579976947,-0.09388775816734285,0.20395994680245239,-1.4272256401717964,0.15351486618806595,0.8058512712015613
G15,202.17785803761814,-0.6573134441733123,0.6701026101368874,-1.7993638561013283,0.07196114307308871,0.7181499860393343
G16,60.6514780810733,-0.08134282163381684,0.18599353188195852,-1.2843975940808487,0.1990028743555362,0.8257380678652956
G17,28.051250155374838,-0.04732681313473325,0.15273872574870673,-0.9456822289197686,0.34431068926836583,0.896811089983882
G18,335.32401182414327,-0.019295467069248822,0.1478464008177044,0.16440471985948432,0.869412548220857,0.9926469778295712
G19,177.05265761584783,-0.017077792945024536,0.14592185643707772,0.8368106175732329,0.4026990283010149,0.9131497240385825
G20,368.0665539658295,-0.010204928647645502,0.14752147705104912,1.3009293144424208,0.1932826509221689,0.8195842074857579
G21,16.724376895015755,-0.011664305675757642,0.1480943273406401,0.6151103925065676,0.5384818192726358,0.9663400890016477
G22,95.71320274009983,-0.019660220796267953,0.14749947709259306,0.28260962055746885,0.7774761047228436,0.9926469778295712
G23,347.84021451157,-0.0009472280431888289,0.14896618804646886,0.8191364089176733,0.41270859117946856,0.9212245338827424
G24,283.7994639198162,-0.03672801007612398,0.15012427436667344,-0.1519538670750272,0.8792233217596095,0.9926469778295712
G25,510.6822881797214,-0.025168830065914187,0.14578062920970977,0.7828991617333375,0.43368632980998023,0.9266801919016672
G26,127.93573982973517,-0.09135463889472054,0.2003499294782032,-1.2585154474581826,0.2082054041700938,0.8378083981936904
G27,362.48376262588,-0.06409624975362464,0.16723440282969576,-0.6937866786849687,0.48781599795811625,0.9601470278642283
G28,149.46003329804202,-0.08623784105698597,0.19019868781825658,-0.8337532770793351,0.4044200291013521,0.9133959420927962
G29,225.9103765586295,-0.03211538531849045,0.14927706864484383,0.03662060153526234,0.9707875168968595,0.9976862266464515
G30,50.503250449969265,-8.264362369370625e-06,0.1534717741642794,0.555369601378493,0.5786418806757813,0.974144580262258
G31,921.7213172695974,-0.024712818382614524,0.14783288686484455,0.8783291352350598,0.37976512904286874,0.8969877053549238
G32,244.88406391817202,-0.04659675065078638,0.1543748130244501,0.2216838029296142,0.8245600398008133,0.9926469778295712
G33,44.29660080304241,-0.03465274594308004,0.14947612522592557,-0.3299025019424726,0.7414736329679146,0.9926469778295712
G34,9.071016747195078,-0.005043992605232844,0.1513271394079886,0.10372678014224146,0.9173861738047341,0.9976862266464515
G35,91.21469312094652,-0.05411765232973311,0.15871020124770632,0.3648233899839579,0.7152432440456723,0.9905794541143439
G36,640.9006884087024,-0.6638146447783383,0.30024203569253377,-0.7647337166310975,0.4444301245978781,0.9295265605163128
G37,163.25780727055692,-0.8604295498544113,0.4033018543543286,-1.5911140453240329,0.11158391217507761,0.780733050556974
G38,234.92430046384501,-0.0508262925288253,0.15729872675704115,-0.6983088512928858,0.48498406498930224,0.9601470278642283
G39,20.57209221370557,0.002629233391114331,0.15851045288734453,0.665641992338791,0.5056399589753987,0.9626136632049022
G40,693.3066908105119,-0.0467665736318201,0.15472250592140827,-0.11117931037740145,0.9114741578340394,0.9976862266464515
G41,318.08067990243933,-0.0215798941813609,0.1475872061771084,-0.24109509128793263,0.8094814171692016,0.9926469778295712
G42,68.54134539121524,-0.013657413226656466,0.14809511138570997,0.460995489124025,0.6448018414343157,0.9798113436319493
G43,1134.2149444965153,-0.058281286500478084,0.16264922051750091,-0.8424046204559417,0.39956150762066156,0.912943006766137
G44,33.4652172367728,0.020495480675819966,0.16707887095186236,1.7864696227118275,0.07402325148167417,0.7186723444822735
G45,187.62336340968906,-0.053995459209714526,0.15919698938579294,-0.8487070986762392,0.39604429522036366,0.9104466556789969
G46,418.08185823698494,-0.044855596331607565,0.1536643710846244,-0.6584097547030274,0.5102748689506726,0.9626136632049022
G47,841.152696136742,-0.12382234251991887,0.2475577373019829,-1.0699289043358284,0.284651311500255,0.8664906396535383
G48,69.64825064048264,0.009021063037395215,0.15095931699719228,1.2542156193956429,0.2097636441286317,0.8378083981936904
G49,84.5073586388698,-0.8134255819124252,0.4120575305384,-0.7554326963656172,0.4499894011593779,0.9295265605163128
G50,165.4270432752344,-0.09194026871619025,0.1996688052691629,-0.4435517488883512,0.6573666973977255,0.9856234341339817
G51,304.3667613653007,-0.07224525920977519,0.17390821381598295,-0.5099591725912017,0.6100800651122704,0.9768271382567217
G52,172.1091907456846,-0.04562744346974281,0.1538532363407873,-0.925258096328426,0.35483167007652416,0.8969877053549238
G53,795.1776778191169,-0.05574961288847266,0.16027879129278155,-0.11285246963278131,0.9101475192516615,0.9976862266464515
G54,343.71675495880686,-0.050668989232980466,0.15726796248032002,-0.22789961673801754,0.8197242806822005,0.9926469778295712
G55,69.66116760492739,-0.017393863314729367,0.146670227253341,0.19802183432920206,0.8430279806598531,0.9926469778295712
G56,449.0511407121019,-0.7772442322648482,0.4015750691019321,-1.4891719910231846,0.1364420843445654,0.8058512712015613
G57,85.4295904392408,-0.00620961550878729,0.1502125446175559,0.6796349152566667,0.49673565607970593,0.9608039769433384
G58,303.98957530529776,-0.07225215110548887,0.1748959132397131,-0.7975133217102243,0.42515296908262745,0.9235709997943166
G59,499.5347671985058,-0.028269797994693525,0.1467522893284378,1.2757426768034867,0.20204649709160039,0.8314670662205778
G60,68.2452645480305,-0.05066579021211251,0.15592241222127398,-1.1115115174527295,0.2663482352860246,0.8624193592327747
G61,87.78794779249179,-0.05860192199155183,0.16265243666249565,-0.5501980576054324,0.5821835356987937,0.974187942953195
G62,1419.4509046607468,0.009004605129473793,0.15102286595660824,1.2036536750987012,0.2287234642489009,0.8430381857084451
G63,439.1765762933991,-0.12048570736332907,0.23078342018958953,-0.01530194205870349,0.9877912931265471,0.9976862266464515
G64,323.43049546896924,-0.008243191143275727,0.14713855583463764,0.9407874987374566,0.34681376854964485,0.896811089983882
G65,67.83668625634343,-0.029615156283783244,0.14866002385674662,-0.07802624122006707,0.937807179145957,0.9976862266464515
G66,115.8641401644248,0.006926454472364479,0.15595773617422293,0.8559488632537177,0.3920260654141213,0.9054023443144849
G67,52.653626216307956,-0.0272072130955743,0.1480631653824466,-0.020016822768219728,0.9840299526256787,0.9976862266464515
G68,213.31389027486642,-0.00941605368606239,0.1485911892992271,0.6125338974961076,0.5401845778259358,0.9663400890016477
G69,312.614997739358,-0.08139573530520779,0.18159071223773646,-0.026996386293311504,0.9784626163025656,0.9976862266464515
G70,312.85896121319536,-0.047809676341821546,0.1549173703154266,-0.26151923926758475,0.793692114827713,0.9926469778295712
G71,127.82564171366155,-0.017585150993885867,0.14736992912106858,0.4865598634934775,0.6265702726160606,0.9797942005630831
G72,71.95194176131557,-1.0228775190079598,0.45083583966717633,-1.7178385185225107,0.08582607357873591,0.7389663677195736
G73,85.4494904144819,-1.8607190002842742,0.46940680289557146,-3.7536133123224342,0.00017430368465332744,0.17430368465332743
G74,285.7235274274607,-1.0446014633867304,0.38292971134711856,-1.8225920003459657,0.06836520813643496,0.7181499860393343
G75,441.39745711950246,-0.5886385003486403,0.3032903147662638,-0.5013716578191615,0.6161095825581556,0.9797942005630831
G76,713.1304601713707,-0.03783758557511192,0.1509045598887982,0.17323146909129172,0.862469488804516,0.9926469778295712
G77,1428.335386547951,-0.0668900865195636,0.16916004079586955,-1.341664404333008,0.1797048334779482,0.8058512712015613
G78,659.933896642144,-0.025651879529276826,0.14764792898811918,0.15262774564203382,0.87869184349046,0.9926469778295712
G79,118.87340404751315,-0.029386761807951765,0.1484090344567587,0.3741801459848983,0.7082702941092063,0.9905794541143439
G80,60.79785952939436,-0.0583630406375701,0.161984558636959,-0.37414686473523334,0.7082950534704165,0.9905794541143439
G81,71.41627507452344,-0.026154739151542084,0.14784430728022596,-0.23812258642439685,0.8117860170831617,0.9926469778295712
G82,559.5892172594663,-0.046936828258893316,0.1550706011275958,0.33999662723724927,0.7338590678704275,0.9905794541143439
G83,227.3693037243771,-0.021859229345144306,0.14750718343414937,0.11869142496726152,0.905519830407686,0.9976862266464515
G84,177.36940293226198,-0.024441463832758727,0.14793556686041928,0.5254477302245222,0.5992719804596129,0.9744259844871755
G85,362.59574313867677,-0.05834449167550867,0.16179460252092703,-0.5619721531422346,0.574134992065823,0.974144580262258
G86,329.0175157141489,-0.002948819133900591,0.1501132059447417,0.3942913414979246,0.6933659550840708,0.9905794541143439
G87,484.00733721558146,-0.006726866312471406,0.14426014195003653,0.9915068123871214,0.32143816754635257,0.896811089983882
G88,20.82978743299216,-0.03364286669621798,0.14863955296260964,-0.2391986941639861,0.8109515151858592,0.9926469778295712
G89,61.955588011783824,-0.06330722302051085,0.16599223361111362,-0.3064598987393612,0.7592545080507551,0.9926469778295712
G90,150.97171812885495,-0.12175107936119245,0.24689178068494474,-0.9320669977037673,0.35130190223890656,0.8969877053549238
G91,2367.6127952329457,-0.017832938718416562,0.1475485715998516,-0.061099118833785764,0.9512802709103217,0.9976862266464515
G92,523.1288675582064,-0.0805386456013279,0.18060040475256403,-1.1300430880340464,0.258458068869586,0.8624193592327747
G93,70.76317265400328,-0.026430337193641542,0.148094256982104,-0.041130498041505835,0.967191861247681,0.9976862266464515
G94,170.91932657819365,-0.06553211211553962,0.16837802578360203,-0.8333729910271134,0.4046344023471087,0.9133959420927962
G95,78.53431978961927,0.00885210235589338,0.15383741610094515,1.46747526325521,0.14224681363435912,0.8058512712015613
G96,60.34687328466239,-0.03828200237590075,0.14966191904943818,-0.00485784972329814,0.9961240119518017,0.9976862266464515
G97,27.96868580236075,-0.009998031134242236,0.14841155316310395,1.0020321988744925,0.31632804189267616,0.896811089983882
