,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
G1,5483.345668190961,-0.07500551855801557,0.3677718976290234,-0.30924873327857444,0.7571323256473661,0.8158753509131101
G2,53.27347106141176,-0.21547977977260868,0.43286592206821733,-0.7223308585467975,0.47009108491818696,0.5711920837402029
G3,38.94090204945895,0.08589752530178534,0.44942447727881646,0.28670533729019887,0.7743379505212793,0.8254603653248201
G4,43.16564016088549,-0.7968342067788863,0.42469845228471614,-2.382313539130993,0.017204242219842913,0.04263875956204037
G5,79.03768673281373,-0.16733591942842546,0.361160888728454,-0.6054840034515142,0.5448574503366919,0.6367287362815968
G6,350.31853924462337,-0.4778140673723706,0.3275691554836886,-1.7634978925814122,0.07781655240562989,0.13797261064827993
G7,84.08112041835987,0.045725727379760245,0.39592939255912213,0.15690801649495809,0.8753173418721996,0.9021639750128031
G8,49.1851784827418,-1.5879530682690928,0.4065627271941382,-4.366508181239006,1.2624856128252526e-05,0.00015396166010064056
G9,886.0231595622997,-1.8801541555252341,0.3438039107259626,-5.836336942274864,5.336093300686205e-09,2.9644962781590026e-07
G10,427.70584665602667,-0.19299677224395892,0.37423511359378336,-0.6873378454976584,0.4918698552078965,0.5876581304753842
G11,274.3749703737082,-0.9477333049447583,0.42356654214567346,-2.75854429097273,0.005805943679870066,0.018490266496401484
G12,218.69795585041635,-1.2269980419263964,0.37431223089867277,-3.7451138052170676,0.00018031202076440023,0.0012879430054600018
G13,186.8864194818345,-1.7921341889552174,0.405245177082754,-4.858036953186543,1.1855528671651093e-06,2.5224529088619346e-05
G14,78.27361579976947,-1.009374808255751,0.4094256685204707,-2.970206701597885,0.0029759943265336977,0.010784689134754158
G15,202.17785803761814,-1.4469064741156383,0.467616135089215,-3.6459577565616947,0.0002663977392856916,0.0017076778159339208
G16,60.6514780810733,-1.256730237163876,0.44742749463225534,-3.3505629180297243,0.0008064748595974999,0.003822155732689573
G17,28.051250155374838,-1.3842566253934971,0.5560812383001881,-3.1484257082530815,0.0016415244286518004,0.006783158796081819
G18,335.32401182414327,-0.32007822902232835,0.5030218221261404,-1.0145752864983604,0.3103083247931194,0.41469049132270097
G19,177.05265761584783,-0.6483772278691549,0.3685165796540416,-2.172549880688403,0.02981421155196767,0.06567006949772614
G20,368.0665539658295,-0.49830020091009763,0.39286823179364705,-1.651861827010515,0.09856272140107697,0.16761607209042373
G21,16.724376895015755,-0.5816380692862806,0.5096516481688508,-1.686623540760045,0.09167576246847203,0.15778960837946993
G22,95.71320274009983,-0.46256865053811846,0.40955413035315813,-1.5048791224338143,0.13235515676140416,0.2110927540054293
G23,347.84021451157,-0.5330919323873837,0.3879806373585247,-1.773385970081176,0.07616477219755145,0.13674106319129525
G24,283.7994639198162,-0.5234902752112983,0.49987848634672094,-1.5729479029617968,0.11573088181963305,0.1906604313338271
G25,510.6822881797214,-0.627795092183957,0.3428538489177658,-2.227071207870121,0.025942515120934685,0.058036946579272226
G26,127.93573982973517,-1.3757894188033113,0.42905796851081934,-3.7175914948737163,0.0002011311535292873,0.0013871114036502572
G27,362.48376262588,-1.3196965037263475,0.42887622509693646,-3.5927206351772227,0.00032724336819296566,0.0019713455915238895
G28,149.46003329804202,-0.9383592136605599,0.3673341024543936,-3.0049547150454496,0.0026562039327571573,0.009985729070515629
G29,225.9103765586295,-0.9129962702017884,0.43732944142989727,-2.6232110595844995,0.008710529368008148,0.02534118332806313
G30,50.503250449969265,-0.20170025573397443,0.4540268760914823,-0.6703862681895477,0.502611586022057,0.5975808869161994
G31,921.7213172695974,-0.8667946923783602,0.3957910132439,-2.6728669012818633,0.007520608296275163,0.022669404943804254
G32,244.88406391817202,-0.863505915228898,0.3819010322585753,-2.7251218051206587,0.006427776898663151,0.0199620400579601
G33,44.29660080304241,-0.7973027962823602,0.47961515163329904,-2.2340339802721156,0.025480837319743342,0.05751882013486082
G34,9.071016747195078,-0.17525429341273424,0.5882788926214051,-0.6035710715845913,0.5461288505875049,0.6372565351079404
G35,91.21469312094652,-0.9443980950424243,0.37831005598374895,-2.960495639504937,0.003071444696297597,0.011008762352321136
G36,640.9006884087024,-1.6724319406352581,0.27693048651734115,-6.344966009131317,2.224745612994795e-10,3.707909354991325e-08
G37,163.25780727055692,-1.9086285220524273,0.36743337009177895,-5.574599369571304,2.481001575545375e-08,1.1277279888842614e-06
G38,234.92430046384501,-0.5751071554193028,0.4021154999327021,-1.846826878567472,0.06477223500468951,0.12244278828863801
G39,20.57209221370557,0.16723690281150363,0.5412626763947271,0.5511653513137009,0.5815203297118621,0.6661172161647905
G40,693.3066908105119,-0.8856807842724275,0.4229923987993361,-2.6117516065826787,0.009007967622668683,0.025911894815846995
G41,318.08067990243933,-0.3659881753687027,0.38737116730262555,-1.2413855056074754,0.21446337099417967,0.3103666729293483
G42,68.54134539121524,-0.5772578819730093,0.4464003716216128,-1.7648903418990234,0.07758219719680584,0.13780141598011694
G43,1134.2149444965153,-0.5656656988396356,0.4006070179606734,-1.8287899166272314,0.06743108611401516,0.12598058037459517
G44,33.4652172367728,0.04386270845930427,0.4405325638712051,0.14638185771538526,0.8836199484807027,0.9062768702366181
G45,187.62336340968906,-1.0996661895646476,0.44094400049954274,-3.041733397220707,0.0023522012839786994,0.009012265455857085
G46,418.08185823698494,-0.5287667956895061,0.43414967647132585,-1.6512805007321276,0.09868131199770067,0.16761607209042373
G47,841.152696136742,-1.1370129211537212,0.33361716974866495,-3.824996436760743,0.00013077397790618213,0.0009982746405052072
G48,69.64825064048264,-0.03184847000811592,0.350962312358153,-0.11958574274137429,0.9048113143115635,0.9223356924684643
G49,84.5073586388698,-2.0584436996072757,0.36944756960727293,-5.941015672210581,2.832615291854017e-09,2.0232966370385837e-07
G50,165.4270432752344,-1.7269207584920672,0.39263958085346,-4.8280495872010665,1.3787676591188331e-06,2.6514762675362176e-05
G51,304.3667613653007,-1.0695739217787448,0.3691437278806234,-3.353478864146454,0.0007980250841976993,0.003800119448560473
G52,172.1091907456846,-0.5020687807759697,0.44320027013377283,-1.5666029851369059,0.11720751967027977,0.1918290010970209
G53,795.1776778191169,-1.0025911647781627,0.38692604759371685,-3.0693656100260487,0.002145138934201354,0.008412309545887661
G54,343.71675495880686,-0.7233304675787915,0.4204840869138505,-2.2087057453386127,0.027195114555763452,0.06043358790169656
G55,69.66116760492739,-0.548019464245087,0.38807251530178644,-1.8043637343922727,0.07117430437570316,0.13059505390037277
G56,449.0511407121019,-1.2181606302653423,0.35985878661928694,-3.8392848337399346,0.0001233932134256314,0.0009565365381831891
G57,85.4295904392408,-0.2216991194419967,0.4295701741062686,-0.7447987195443193,0.4563934090964754,0.5565773281664335
G58,303.98957530529776,-0.9715811555634308,0.412319061453427,-2.8649843481797954,0.0041702985426148465,0.014088846427752861
G59,499.5347671985058,-0.8503314479280066,0.3517058932774406,-2.849883574383087,0.004373523507561463,0.014627168921610244
G60,68.2452645480305,-0.643016103318514,0.4825468824969654,-1.8709408635791978,0.06135327820055454,0.11890170193905919
G61,87.78794779249179,-0.6119530724306805,0.40737063896118253,-1.9423535317182758,0.05209431662138823,0.10460706148873139
G62,1419.4509046607468,-0.07186826041303103,0.34607849923186473,-0.29526680913849235,0.7677900692668843,0.8222111659001713
G63,439.1765762933991,-1.4937435405299162,0.306241612930507,-5.232862488952281,1.6690490787408313e-07,5.960889566931541e-06
G64,323.43049546896924,-0.5807524994026376,0.3857413530971569,-1.9165677890592352,0.055292863436076936,0.10927443366813623
G65,67.83668625634343,-0.5664015798384988,0.4189676263923373,-1.7882362985638176,0.07373789230954257,0.13384163984364847
G66,115.8641401644248,-0.23075071579921294,0.4307239126831118,-0.772834886965682,0.4396201037679526,0.5412310431821993
G67,52.653626216307956,-0.5860047635819348,0.46338566860997066,-1.7591488707551435,0.07855222598052264,0.1387848515556937
