,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1CF,1253.0582671810946,-2.3427597553849067,0.4442309578730052,-5.759829336172308,8.419902456115732e-09,8.036210698621849e-08
A2M,13828.341422770454,-1.6524716467028446,0.27071329115128345,-6.587580627605412,4.470512289616351e-11,6.0853708105594e-10
A2M-AS1,21.73654467617274,-1.105538964641255,0.35682061611641075,-3.29808413247731,0.0009734696176738764,0.0030292320311681976
A4GALT,345.3430059643394,0.008342263213860333,0.3558759883987806,0.025563019367902284,0.9796058826934022,0.985052198371435
AAAS,1371.5753278519144,0.23250821454757897,0.19665631559702548,1.1761464380196787,0.23953636376862453,0.33567996933135247
AACS,2039.8036441968725,0.14948299321203942,0.2432901704414821,0.610423120140329,0.5415815565388624,0.6402272676177858
AADACL2,8.859525609223617,-2.5480524900864157,0.6870278971194076,-4.072394918184115,4.653219528491146e-05,0.0002050727650904535
AADACP1,75.15271897840569,0.04085462152604464,0.46809265936479244,0.10818190823632304,0.9138513958588673,0.939070802096277
AADAT,173.046157862044,0.9155433168652624,0.2887985383616716,3.3862650527571443,0.0007085091600824577,0.002289781187877373
AAGAB,1928.1477403518347,-0.21230792559403397,0.2473053655849221,-0.8611516629539685,0.3891545182723788,0.4950643820334208
AAK1,1287.1611324316525,-0.5138064710582073,0.03519780993858528,-6.930250658362853,4.20095595826864e-12,6.777021230539048e-11
AAMDC,214.90459520241083,-0.13509174347530414,0.2527985585960654,-0.57328223604648,0.5664536111403764,0.6618675733995694
AAMP,5801.560550194074,-0.17539871166708418,0.233819118635986,-0.5729897645846936,0.5666516242627084,0.6620543332186141
AAR2,1665.766679492134,-0.5370259082375536,0.2283625407893084,-2.5157873748420143,0.011876680923738031,0.02670366920516854
AARD,10.799536943652834,-2.6951213152449762,0.5395760961540288,-5.048327344900736,4.456950040305928e-07,3.037030553987639e-06
AARS1,4706.438333260582,0.5173378161889778,0.20562334085966952,2.499992023590239,0.012419610280154604,0.02770884876861458
AARS2,829.8290022260177,-0.030228582782372043,0.20460397739479733,-0.15307187723041504,0.8783415932066052,0.9130372180896089
AASDH,316.13009355324544,-0.1733418979440468,0.2935043164605736,-0.6725435273880582,0.5012377394631986,0.6037758899725219
AASDHPPT,691.7085169833135,0.19997704739616837,0.24029756087413626,0.882924130978836,0.3772772647072151,0.48318014360479467
AASS,135.74602348319817,-0.6419818462367991,0.362918763109187,-2.0018453083088517,0.045301371295043635,0.08346965373976271
AATBC,44.843321001248455,0.12647349416446224,0.41427384614703494,0.3665008757930564,0.7139913592172807,0.7860050888466996
AATF,1924.8820533805092,0.21824912430483115,0.12233524565223283,1.8073483193279616,0.07070798653750694,0.12156418187106625
AATK,315.17462493445845,0.5615939311541681,0.3540939340499795,1.7818852739671815,0.07476794243890113,0.12753276854287632
ABAT,1058.9735363677698,-1.1828685997967758,0.037703382444361895,-9.77789563880189,1.4009292054567936e-22,7.521645288245113e-21
ABCA1,1195.048612677213,-1.0663852270869112,0.037011422370332225,-10.133591158943341,3.919831097179068e-24,2.480938353550343e-22
ABCA10,66.82900755891086,-1.222322148814973,0.4305296710867414,-3.201524702127012,0.0013670235365797587,0.004083176398788525
ABCA11P,14.29134292796452,-0.34055578933243225,0.43622892375936007,-0.9402903307692212,0.34706865798246367,0.4524641577951936
ABCA13,25.285902434481216,0.46817554910852643,0.14494903202962536,-0.9362437674851883,0.34914769328030837,0.4545393962065241
ABCA2,3142.785748955735,0.3444105064111975,0.3149013123190609,1.1386994732917677,0.25482852251129495,0.35342580273439517
ABCA3,445.05863102366357,0.06688401801821028,0.35097933882022603,0.22586106622640265,0.8213094800130724,0.870448512032433
ABCA5,996.0167033745016,-1.5738343054105408,0.40351721351241654,-4.302953251096715,1.6853642143598728e-05,8.242410097413682e-05
ABCA6,100.37443286961093,-1.923361665161381,0.4535354763365924,-4.592740087368925,4.374637718741614e-06,2.425105181023858e-05
ABCA7,973.6437677031739,0.051617110382502204,0.2895805257535347,0.13445928458489437,0.8930394048619306,0.9236098138785543
ABCA8,640.3937270860807,-4.26200771596454,0.4932082540923505,-8.882855088975587,6.516582958126242e-19,2.4303350894586083e-17
ABCA9,94.04693794436953,-2.3630938263712835,0.45442167067761075,-5.50125145346466,3.771049348650647e-08,3.2057616570735064e-07
ABCB1,3666.0314049548674,-3.4862756184119545,0.4518750613053142,-8.22323753395093,1.980819740387097e-16,5.567483944536959e-15
ABCB10,952.7115935832838,-0.6084471028038042,0.2464964335960197,-2.6103852540954393,0.009044030715248506,0.021169062041279472
ABCB11,324.3998807623904,-6.064871534617935,0.6103902894148286,-10.116401224823006,4.672819989610054e-24,2.9360885601383173e-22
ABCB4,55.23755482502538,-0.7864675942461603,0.38851068111748244,-2.287377049405056,0.022173824705460716,0.045432238662818966
ABCB5,14.693657449086771,-3.9240109553514144,0.6675663296118306,-5.8236327075430525,5.758205084907723e-09,5.6163550383841233e-08
ABCB7,1013.1609465324191,-0.050777724855055065,0.21363693357668878,-0.2849896856194326,0.77565204408951,0.8349278656334789
ABCB8,1521.4602719751745,0.06369917136670802,0.219474008332283,0.39384896690378274,0.6936925498055806,0.769773240256487
ABCB9,257.41660846149006,-0.343703109535057,0.2587921538086328,-1.4250568486998603,0.15414076880278652,0.23290211733607027
ABCC1,2030.755416352331,0.38638254118494736,0.1872667887125316,2.151565791443866,0.03143156884011025,0.06105592034565052
ABCC10,1215.7161926907693,0.38584618327497594,0.2548040197666828,1.5685280213767858,0.1167579557075382,0.18466178457639104
ABCC13,174.36932237534097,-5.042917789069124,0.45304219356318526,-11.39960071396794,4.200411027108383e-30,4.792337370533788e-28
ABCC2,64.88730703324966,2.094579009373699,0.4709854561470349,4.812661676389197,1.4893329877586675e-06,9.113624796651662e-06
ABCC3,8774.35203352321,-1.3201470950945338,0.2797420704471535,-4.6417108807845375,3.4553612479031227e-06,1.9576241346336478e-05
ABCC4,914.5542493019148,-0.7274377297178348,0.29315804348711033,-2.7277555298799223,0.006376684742563572,0.015603847439754123
ABCC5,966.9943803252181,-0.40438511646168634,0.21541612400217577,-2.030133759699847,0.042342944751527646,0.07857799335270117
ABCC6,462.1625850913824,-2.0231395194602984,0.32008635043523365,-6.566531462699981,5.150076980450224e-11,6.939598678707675e-10
