,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,16467.10853526226,-0.604510635027517,0.4093123619420388,-1.9967393934067725,0.04585350038766159,0.09091278179420015
A2M-AS1,31.678038239373254,-0.4517180717442463,0.3742452678557121,-1.5063056803085086,0.13198872062401387,0.21648343900686598
A2ML1,47532.064233738776,0.2399413252721738,0.5031187755070807,-3.1079046419844016,0.0018841885249703163,0.006241857659277831
A4GALT,4493.509521249779,0.14076465842935051,0.3100852045542008,0.5110304672192637,0.6093297229939609,0.7070501613236039
AAAS,1800.6931695254216,0.07168627867348916,0.09326574958107767,0.7514823110738984,0.452362442450443,0.567600609928775
AACS,3470.466883636863,-0.22710781635192528,0.14056405798700974,-1.6631983532210721,0.09627273718430987,0.16762327294696103
AADAC,586.9170547003522,-0.4343719067783156,0.6476497138143811,-1.2487161866308434,0.21176889837894763,0.3168773432655418
AADACL2,221.64590862309802,-2.2231959577183384,0.7736163395161259,-3.6032021342901355,0.00031432090335830546,0.0013591241982360224
AADACP1,85.3284843863445,0.6469082016051578,0.5341054758202916,1.752517878608974,0.07968479835327989,0.14342294793285143
AADAT,123.78409135775365,-0.022795421847982753,0.3211537916947737,-0.08016169399250507,0.9361086558463532,0.9567375174797913
AAGAB,3009.6800800389583,0.3490534821380853,0.16855363279521327,2.2248889360988677,0.02608869494007145,0.05708468689584739
AAK1,2792.1897969933348,0.824184123904693,0.11153899608426124,7.6290718354968385,2.3644986288303145e-14,1.787259112506931e-12
AAMDC,153.16554346498438,-1.1023965031182132,0.1809066312518083,-6.309055258626066,2.8074387688061094e-10,7.478761548356089e-09
AAMP,6654.328678215517,-0.06092097511911097,0.1249934841943759,-0.47054372400553224,0.6379666032466406,0.7323854956033139
AAR2,2404.1454721969353,0.49585823937622664,0.10856350061142221,4.581294987645943,4.621054738996864e-06,3.541147339465112e-05
AARD,14.278723394078046,-3.6116148536565005,0.6873185262325834,-4.302913161276194,1.685669314324191e-05,0.00010943912291791156
AARS1,7026.166804419198,0.579899208105755,0.1186341038342661,5.050601614484256,4.404207478681048e-07,4.704516661605128e-06
AARS2,1120.8568957058935,-0.29254148946431396,0.13567367553445125,-2.1929178207919358,0.02831330051319436,0.06102768559833411
AASDH,554.8280215758509,-0.06192369278105704,0.13025341186894027,-0.503479057377229,0.6146275008789646,0.7118954289327757
AASDHPPT,1772.864658233496,0.049514965537618166,0.11969504209162499,0.6179960835871073,0.5365779202539982,0.644350567703608
AASS,691.2998803020805,-0.31872515124920514,0.24052924572053302,-1.4987029824056737,0.13395070267850154,0.2191146819852862
AATBC,214.6643019673297,0.11740318283378558,0.2990984367446489,0.46093586233294837,0.644844621359633,0.7380871840460829
AATF,3631.0819655649434,0.7107969157604945,0.1178951531036753,6.250020889734165,4.103977903300726e-10,1.0429035693323433e-08
AATK,214.63132002039873,0.3931974753695032,0.24617416491184865,1.7708224169900757,0.07659023694653083,0.1388520492836525
ABAT,1137.7014552672672,0.0531663293532495,0.39707136617483085,0.13975850587278033,0.8888507989625738,0.9210510291665033
ABCA1,2659.3884484068994,0.9809881473936848,0.24869098492654948,4.149137203371635,3.3373074893148805e-05,0.00019773379897498406
ABCA10,84.26401716768089,-0.23653733229310864,0.4137182234425573,-0.7703889051171819,0.4410692327932977,0.5565525613268503
ABCA12,2640.6536299701484,0.5499964869520166,0.5553982645676214,1.5095034485414984,0.13117017468536302,0.21549905780023154
ABCA13,1377.8510180892956,0.19045063752260566,0.5185103166583611,2.657481011180804,0.007872702539934105,0.021038485815683693
ABCA2,1609.9591487648788,-0.28457034743863957,0.27889070933741683,-1.0636527527978432,0.28748603533081507,0.40228568186397257
ABCA3,781.7753565244886,-0.3124933316983227,0.4195943532289297,-0.985962651311997,0.32415144080105185,0.4415907694569433
ABCA4,43.662767479047,2.5708865323998555,0.37271341079139725,2.3206490831659523,0.020305790832269993,0.046492212799155226
ABCA5,1124.2271081228896,-0.8561012661260051,0.18714675367985573,-4.805817072269744,1.541207695418295e-06,1.4003310636171445e-05
ABCA6,193.12607138995912,-0.9794792279508621,0.39977597535488074,-2.907008775652995,0.003649029605901172,0.010969320170861824
ABCA7,1487.2108725582236,-0.8412848069105503,0.24236072648239046,-3.767121334738714,0.00016514075109643178,0.0007908857270762786
ABCA8,669.4190601769781,-2.5276850313533044,0.4821595936857008,-5.681011582794703,1.3390040796172798e-08,2.2043952799916121e-07
ABCA9,122.30639659379952,-0.8306427930000565,0.455288287821699,-2.327760949854045,0.019924800699283447,0.04580950489533677
ABCB1,148.06925459111045,-1.0675185101342013,0.3024050552070863,-3.8975221246863785,9.718194625775292e-05,0.0004974763433361571
ABCB10,972.5142886695298,-0.05464088570525458,0.11852689659498065,-0.4744673210145671,0.6351666961072504,0.7300251382730127
ABCB11,15.917942799720457,-1.487116842879588,0.3842710310875863,-0.7461873830570298,0.45555422867331585,0.5705428868310026
ABCB4,82.07314804640126,-1.1428839961573354,0.3874105075245141,-3.3987989166898553,0.0006768245784732849,0.0025983218040676378
ABCB7,1269.1586222548026,-0.36136870671302446,0.11785663522114011,-3.1434497686496554,0.0016696906995780662,0.005626772129881463
