,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,2095.315762109572,1.2774689902664598,0.13327860528283553,9.778748643863766,1.3891739335301073e-22,1.3589075885972136e-21
DPM1,1198.8332570646562,-0.24362660360521982,0.09138253187512306,-2.6796092293163354,0.0073708150809855405,0.011691789909898621
SCYL3,533.8632844237384,-0.34787410716579265,0.09148759186530847,-3.8331529500172556,0.0001265112382141834,0.00025103241200702007
C1orf112,221.19995028179287,1.0559027661437048,0.11780025393980657,9.032834067980396,1.6728221697356067e-19,1.3102619537639332e-18
FGR,2236.635455791426,-2.1669894297068666,0.18752717215500098,-11.604605553983914,3.9048398547674633e-31,6.78734959007809e-30
CFH,4374.109278387604,-0.18854746581434959,0.17589449313662398,-1.176723493271309,0.23930588769450456,0.2849084478664011
FUCA2,1962.477332056251,0.29349938582348883,0.10460598259067425,2.8259986647966415,0.004713346051573973,0.0076759213639613025
GCLC,3026.27185040972,2.1048439398844447,0.2671834181090001,8.145875415680194,3.765476721502575e-16,2.2567302794706608e-15
NFYA,1334.178021797887,0.37780849964224356,0.09735778421051092,3.922071700438322,8.77908571453906e-05,0.00017752517601384713
STPG1,541.2648393425804,-0.5112156556809413,0.1249698636698847,-4.1680294874875745,3.072441954433444e-05,6.56680550047942e-05
NIPAL3,2174.3279782110744,-0.8333755561903168,0.0977629923291001,-8.668754471266585,4.368728792484797e-18,3.0551115552513803e-17
LAS1L,1550.4348341812897,0.5823143866608095,0.06307110734715675,9.195515300942228,3.732015080613155e-20,3.084173218587475e-19
ENPP4,2321.9331230742196,-1.0958856552707557,0.1345598763371578,-8.411858857646807,4.0356333237421115e-17,2.5960157053406636e-16
SEMA3F,1602.5152483179097,-0.17706579740634623,0.14218669940938514,-1.3057634256130697,0.19163302140571048,0.2331809058309889
CFTR,1285.3594618589207,-1.7404013128572173,0.2898224846520631,-6.17799193903507,6.492202858423009e-10,2.2875559153980517e-09
ANKIB1,2425.6803950682825,0.1633718429946758,0.09185232422313969,1.8157148414481257,0.0694141262128786,0.0923546058954874
CYP51A1,160.81681028339526,-1.0703312354030838,0.137367578116014,-7.901360049336603,2.7587648622992568e-15,1.5320687883083295e-14
KRIT1,206.62545023309144,-0.5442252225238059,0.07623969207689982,-7.118409475716714,1.091796060304079e-12,4.883310717802104e-12
RAD52,252.1358369775823,-0.18398277011204311,0.11722945889640825,-1.6069054711100377,0.1080751060628881,0.13888180652012738
